"id","round1_combined_array","df"
"000000000000000000000000","[2.00,0.00];[1.60,1.80];[0.00,0.20];[0.80,1.00];[0.20,0.40];[1.20,1.40];[0.60,0.80];[0.40,0.60];[1.00,1.20];[1.80,2.00];[1.40,1.60]","v17"
"000000000000000000000000","[1.80,2.00];[0.80,1.00];[0.20,0.40];[0.00,0.20];[2.00,0.00];[0.60,0.80];[1.20,1.40];[1.00,1.20];[1.60,1.80];[0.40,0.60];[1.40,1.60]","v17"
"","[1.20,1.40];[0.20,0.40];[0.80,1.00];[1.80,2.00];[0.00,0.20];[1.00,1.20];[1.40,1.60];[2.00,0.00];[0.60,0.80];[1.60,1.80];[0.40,0.60]","v17"
"8906579825c0807ca50ca1ed","[1.60,1.80];[0.20,0.40];[0.60,0.80];[0.40,0.60];[1.00,1.20];[1.20,1.40];[2.00,0.00];[1.80,2.00];[0.80,1.00];[0.00,0.20];[1.40,1.60]","v17"
"","[0.80,1.00];[1.80,2.00];[2.00,0.00];[1.60,1.80];[0.40,0.60];[0.60,0.80];[1.00,1.20];[0.00,0.20];[1.40,1.60];[0.20,0.40];[1.20,1.40]","v17"
"30d079373effe6f2b3b8fdec","[0.20,0.40];[1.00,1.20];[0.80,1.00];[1.40,1.60];[0.60,0.80];[0.40,0.60];[2.00,0.00];[0.00,0.20];[1.20,1.40];[1.60,1.80];[1.80,2.00]","v17"
"32bbc39e686146242e3b985f","[0.00,0.20];[0.20,0.40];[1.80,2.00];[0.80,1.00];[1.20,1.40];[2.00,0.00];[0.60,0.80];[1.40,1.60];[0.40,0.60];[1.60,1.80];[1.00,1.20]","v17"
"5cd4e053e7c5055f707f9221","[1.60,1.80];[0.40,0.60];[0.60,0.80];[2.00,0.00];[0.00,0.20];[0.80,1.00];[0.20,0.40];[1.40,1.60];[1.80,2.00];[1.00,1.20];[1.20,1.40]","v17"
"6a3f3fac4afd73f8ae204164","[2.00,0.00];[1.00,1.20];[0.40,0.60];[1.40,1.60];[1.20,1.40];[1.80,2.00];[0.80,1.00];[1.60,1.80];[0.00,0.20];[0.20,0.40];[0.60,0.80]","v17"
"fbb58418c8f3857804d2d0b3","[1.00,1.20];[1.60,1.80];[0.40,0.60];[0.80,1.00];[0.20,0.40];[0.00,0.20];[0.60,0.80];[1.80,2.00];[2.00,0.00];[1.40,1.60];[1.20,1.40]","v17"
"e02064fa45ad1ee9deea6494","[1.80,2.00];[0.00,0.20];[0.20,0.40];[1.20,1.40];[2.00,0.00];[1.60,1.80];[0.40,0.60];[1.00,1.20];[0.80,1.00];[0.60,0.80];[1.40,1.60]","v17"
"34a330cdbb9238e7e7fb7731","[0.60,0.80];[2.00,0.00];[1.80,2.00];[1.20,1.40];[1.60,1.80];[1.40,1.60];[0.00,0.20];[0.40,0.60];[1.00,1.20];[0.80,1.00];[0.20,0.40]","v17"
"0448d4452d1b5fe9ac68c605","[0.40,0.60];[0.60,0.80];[0.80,1.00];[1.00,1.20];[1.60,1.80];[1.20,1.40];[0.00,0.20];[1.40,1.60];[0.20,0.40];[1.80,2.00];[2.00,0.00]","v17"
"2da05e4fe23c54ebc0703b43","[0.20,0.40];[0.00,0.20];[1.00,1.20];[1.20,1.40];[2.00,0.00];[0.40,0.60];[0.80,1.00];[1.80,2.00];[1.40,1.60];[0.60,0.80];[1.60,1.80]","v17"
"6e98c610d57a817d6c777620","[0.40,0.60];[0.20,0.40];[1.40,1.60];[1.00,1.20];[0.60,0.80];[1.20,1.40];[2.00,0.00];[1.80,2.00];[1.60,1.80];[0.00,0.20];[0.80,1.00]","v17"
"236a148a4833dc3c371f01e3","[0.40,0.60];[0.60,0.80];[1.80,2.00];[1.40,1.60];[0.80,1.00];[0.20,0.40];[1.00,1.20];[2.00,0.00];[1.60,1.80];[1.20,1.40];[0.00,0.20]","v17"
"17b8cd4cc1a7de70cb33a763","[0.60,0.80];[0.40,0.60];[0.00,0.20];[0.80,1.00];[1.80,2.00];[1.20,1.40];[1.40,1.60];[0.20,0.40];[1.60,1.80];[2.00,0.00];[1.00,1.20]","v17"
"d4dfe8e4622cc0c8bc94177c","[1.20,1.40];[0.60,0.80];[1.80,2.00];[1.40,1.60];[2.00,0.00];[0.80,1.00];[0.40,0.60];[0.00,0.20];[0.20,0.40];[1.60,1.80];[1.00,1.20]","v17"
"e5faacd773c8f544a85fddd4","[1.60,1.80];[1.00,1.20];[0.80,1.00];[0.20,0.40];[0.00,0.20];[0.40,0.60];[2.00,0.00];[1.40,1.60];[1.20,1.40];[0.60,0.80];[1.80,2.00]","v17"
"35f91f4f3af7c479932748d0","[0.40,0.60];[1.60,1.80];[1.00,1.20];[2.00,0.00];[1.20,1.40];[0.60,0.80];[0.80,1.00];[0.00,0.20];[0.20,0.40];[1.40,1.60];[1.80,2.00]","v17"
"0aa4789bf348294ee98433c6","[1.40,1.60];[0.20,0.40];[2.00,0.00];[0.00,0.20];[0.60,0.80];[0.40,0.60];[1.00,1.20];[1.80,2.00];[1.60,1.80];[1.20,1.40];[0.80,1.00]","v17"
"5d7db42291e03fa39350579d","[2.00,0.00];[0.00,0.20];[1.20,1.40];[0.60,0.80];[0.20,0.40];[1.00,1.20];[1.40,1.60];[0.40,0.60];[0.80,1.00];[1.60,1.80];[1.80,2.00]","v17"
"d6a2ca5992e78796b6c340bb","[1.00,1.20];[1.80,2.00];[1.60,1.80];[0.20,0.40];[1.40,1.60];[0.40,0.60];[2.00,0.00];[1.20,1.40];[0.00,0.20];[0.60,0.80];[0.80,1.00]","v17"
"b166b162e7b6e7c114144ef9","[1.80,2.00];[2.00,0.00];[0.80,1.00];[1.60,1.80];[0.40,0.60];[1.40,1.60];[1.20,1.40];[0.60,0.80];[0.00,0.20];[0.20,0.40];[1.00,1.20]","v17"
"fcb94ecd0d8dba5690e4b074","[0.20,0.40];[0.80,1.00];[1.40,1.60];[0.60,0.80];[1.60,1.80];[2.00,0.00];[0.00,0.20];[0.40,0.60];[1.00,1.20];[1.80,2.00];[1.20,1.40]","v17"
"4cbe741eb0f6403a42fe5222","[1.20,1.40];[1.40,1.60];[2.00,0.00];[0.60,0.80];[0.80,1.00];[0.00,0.20];[1.60,1.80];[0.40,0.60];[0.20,0.40];[1.00,1.20];[1.80,2.00]","v17"
"4a18e720554e4457a0bc6dfb","[0.40,0.60];[2.00,0.00];[0.80,1.00];[1.40,1.60];[1.00,1.20];[1.20,1.40];[1.80,2.00];[0.20,0.40];[0.60,0.80];[1.60,1.80];[0.00,0.20]","v17"
