id,choiceB,beliefA,beliefB,cond_presentation,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,short,round,whichFirst,choiceStr,age,sex,student,df
9c2a276668310d20bbee356f,1,1.05,0.4,sampling_noiseless,beliefs_first,2,4,3,5,392,40,10,50,35,25,40,0,1,A,7,22,Female,No,prereg
a431e26d86f7eabc22587c7b,1,0.04,0.04,description_noiseless,choice_first,2,1,2,4,529,30,30,40,20,20,60,0,1,A,4,36,Male,No,prereg
02e718572c3227791c87f4d0,1,1,1,sampling_noiseless,choice_first,4,4,2,3,436,25,50,25,20,50,30,1,1,B,6,21,Male,Yes,prereg
53fd30b921af44b44278d9df,1,1,2,sampling_noiseless,beliefs_first,2,1,5,5,548,60,20,20,40,20,40,1,1,B,6,49,Female,DATA_EXPIRED,prereg
417f5ea4a534c090c79dc96a,1,1.5,1.6,sampling_noiseless,choice_first,2,3,5,5,493,20,5,75,15,5,80,0,1,B,7,30,Male,No,prereg
47d6fbd17a055b0f6dcd279b,1,1.5,1.5,description_noiseless,choice_first,5,3,5,5,508,0,40,60,0,90,10,0,1,B,7,36,Male,No,prereg
7aa79a4cc1f8e28429922216,0,1,1,description_noiseless,beliefs_first,2,2,4,4,530,50,25,25,50,1,49,0,1,B,5,21,Female,Yes,prereg
2f4f77cf3516dd65fe654bbf,1,0.8,1,sampling_noiseless,choice_first,3,3,5,5,526,60,5,35,40,10,50,1,1,A,5,24,Male,Yes,prereg
aa557b3c9888532c2f643d56,1,1.08,0.96,sampling_noiseless,beliefs_first,4,3,4,5,704,45,0,55,50,5,45,0,1,B,5,23,Female,Yes,prereg
bf46d0ff0554a93d77355184,1,1.4,1.44,sampling_noiseless,choice_first,5,4,5,5,664,14,4,82,10,0,90,0,1,B,7,37,Male,DATA_EXPIRED,prereg
7d86f34d5ad77bd1d988d9be,0,1.2,0.8,sampling_noiseless,beliefs_first,2,2,4,4,573,20,40,40,50,25,25,1,1,A,5,44,Female,DATA_EXPIRED,prereg
beaa55b48e0e927d39c6c413,1,1,1.2,description_noiseless,choice_first,4,3,4,3,670,40,10,50,30,40,30,1,1,A,5,25,Male,No,prereg
dd467f569e1f80ae3adb312a,0,1,1,sampling_noiseless,choice_first,2,5,5,5,752,49,2,49,49.5,2,48.5,0,1,B,7,22,Male,No,prereg
2b1aa04b7a7c74919f260088,0,1,1,description_noiseless,choice_first,4,4,2,2,270,45,10,45,45,10,45,1,1,A,7,30,Male,Yes,prereg
68d15344adea8e48c2040682,1,0.4,0.7,sampling_noiseless,choice_first,4,3,4,5,367,50,20,30,30,30,40,1,1,A,6,24,Male,No,prereg
30f1711ac13ac4e5743b0577,1,1,0.8,sampling_noiseless,beliefs_first,4,3,5,5,405,50,5,45,25,5,70,1,1,A,7,31,Male,No,prereg
2cd780300f69c352ad637c33,0,0.9,0.1,description_noiseless,beliefs_first,4,2,5,5,452,40,5,55,60,5,35,0,1,A,7,29,Male,No,prereg
47b02182b9ab40f7952614bc,1,2,2,description_noiseless,choice_first,4,3,3,4,399,0,0,100,0,0,100,0,1,B,5,21,Male,No,prereg
406ad4c71e98205c91a89bf0,1,1,1,description_noiseless,beliefs_first,2,3,5,5,885,49,2,49,49,2,49,0,1,A,5,21,Female,Yes,prereg
d628e8f6be3f6c498742383f,1,1,1,description_noiseless,choice_first,4,4,5,3,638,45,10,45,45,10,45,1,1,B,1,27,Male,No,prereg
4eda5a15e5ecd009b191b0dc,1,1,1,description_noiseless,beliefs_first,2,2,5,4,386,45,10,45,45,10,45,0,1,B,4,38,Male,No,prereg
7891214883027c095df0653d,1,0.4,1,sampling_noiseless,choice_first,2,3,4,4,960,95,0,5,45,10,45,0,1,A,6,38,Female,No,prereg
6b31aa868d49588b44126937,1,1,1.1,description_noiseless,choice_first,4,3,4,5,648,46,8,46,46,8,46,1,1,A,7,30,Male,No,prereg
9cb6554bd9e85d2db103de9b,0,1.5,1,description_noiseless,beliefs_first,3,1,5,3,529,10,35,55,25,50,25,0,1,A,7,51,Female,No,prereg
1e4a520e5ec587d4c684a224,1,1.31,1.35,sampling_noiseless,beliefs_first,3,5,5,5,473,40,0,60,40,0,60,0,1,A,7,33,Male,No,prereg
86d790e3ce957b96c492cfb1,1,1,120,description_noiseless,choice_first,3,3,3,2,1004,60,25,15,60,22,18,0,1,B,6,65,Female,No,prereg
00dac5efe6969a4957ac24b0,1,0.1,0.11,description_noiseless,choice_first,2,2,4,5,632,49,2,49,48.5,3,48.5,0,1,B,6,27,Male,Yes,prereg
a9594a68454489c6cc5d4101,0,1,1.04,sampling_noiseless,beliefs_first,5,3,3,3,804,50,5,45,50,5,45,0,1,B,7,24,Male,Yes,prereg
7f772b65bca4f217d1d75a2b,0,1,1,description_noiseless,beliefs_first,4,3,4,5,1013,0,100,0,0,100,0,1,1,A,4,74,Male,No,prereg
52a73d79869ceae8c93140e3,0,1,1,description_noiseless,beliefs_first,4,3,4,4,242,45,23,32,45,13,42,0,1,A,6,34,Male,DATA_EXPIRED,prereg
40bfd136fddafca5c8afe754,0,1,2,sampling_noiseless,choice_first,3,2,4,4,581,50,5,45,50,5,45,0,1,A,5,26,Female,No,prereg
ac2ca5a8ee98771e05fcce09,1,0.68,1.12,description_noiseless,choice_first,2,3,3,2,654,64,0.5,35.5,44,0.7,55.3,0,1,B,4,28,Male,No,prereg
c7bf58e3cc70fbbe590fb0d7,1,0.99,0.96,sampling_noiseless,choice_first,4,4,3,3,512,49,1,50,50,0,50,0,1,B,6,38,Male,No,prereg
d7d16f6ce1fe6bacf15895a6,1,0.8,1.2,sampling_noiseless,choice_first,4,4,5,5,735,20,20,60,10,20,70,1,1,B,4,32,Male,No,prereg
f4d67cad5f3dd188a0f120b7,1,1,1,sampling_noiseless,beliefs_first,2,1,5,5,843,25,25,50,25,25,50,0,1,A,4,30,Female,No,prereg
be1b358373180d4b4675b755,1,2,1,sampling_noiseless,choice_first,2,2,1,4,593,70,10,20,40,10,50,1,1,A,7,34,Male,DATA_EXPIRED,prereg
8121351ab14ec9995451997a,1,0.76,0.8,sampling_noiseless,beliefs_first,2,3,2,2,704,50,20,30,55,15,30,0,1,A,7,43,Male,No,prereg
4b6e548f909dd13af8124e9d,1,1,1.2,sampling_noiseless,choice_first,2,2,3,2,1173,25,50,25,25,25,50,1,1,B,6,31,Male,No,prereg
de0ca9b36ada262b42d0a9f5,0,2,1,description_noiseless,choice_first,4,3,4,4,567,33,34,33,35,60,5,1,1,A,5,60,Female,No,prereg
5a734650bb5ad682378e3d2c,0,1,1.1,description_noiseless,choice_first,2,3,4,4,723,45,10,45,45,10,45,1,1,A,6,32,Female,No,prereg
360eaf80632988f4fe655ba8,1,1,0.4,sampling_noiseless,beliefs_first,4,1,5,5,530,70,10,20,20,30,50,1,1,B,6,28,Female,No,prereg
