id,bonus_payment,choiceB,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,age,sex,student,df
052e81d2562792492460ebe2,0.20,1,choice_first,3,2,4,5,406,2,0,0,50,50,100,0,0,4,B,1,1,28,Male,No,v13
e1926064779db7bdd6ffcbac,0.20,0,choice_first,2,2,3,4,471,2,2,46,8,46,46,8,46,2,A,1,1,24,Female,Yes,v13
416edb6648fd6678f41df28e,0.60,1,choice_first,4,1,4,4,391,2,1.9,0,0,100,10,0,90,6,A,1,1,40,Male,No,v13
e913d0b1ff653558c1b2a710,2.00,1,beliefs_first,4,3,5,4,411,0.75,1.5,35,10,55,68,12,20,6,B,1,1,20,Male,No,v13
594a4fe9c4ec6d9cf803ad56,0.00,0,choice_first,4,3,4,4,423,0.8,1.1,45,10,45,45,10,45,6,B,1,1,33,Male,No,v13
c3f91910c532fa61d861e01d,0.00,0,choice_first,2,4,5,4,446,1,1,45,10,45,45,10,45,7,A,1,1,22,Male,Yes,v13
aa0c9cc1cc0b054f502e4875,0.00,1,beliefs_first,3,3,4,4,498,1,1.25,45,9,46,36,9,55,4,B,1,1,42,Female,Yes,v13
9a77c34dfa72267c29c2c3b5,2.00,1,choice_first,5,3,4,4,507,0.89,0.87,45,10,45,45,10,45,7,B,1,1,26,Male,No,v13
dba2b6f3d72ab48921c1b1e0,0.00,0,beliefs_first,2,1,5,5,470,1,1,33,33,34,33,33,34,6,A,1,1,43,Male,No,v13
423040c30978fe7a05ff353f,0.00,1,beliefs_first,3,1,5,5,479,0.97,1.13,40,10,50,60,10,30,5,B,1,1,30,Female,No,v13
cf7dfe773a6e26696249351b,1.80,0,choice_first,2,3,2,3,545,1,1,10,15,75,15,10,75,3,A,1,1,56,Female,No,v13
b408e54523b92dd8e30bc10e,1.60,1,choice_first,5,3,4,4,517,1,1,33.3,33.4,33.3,33.3,33.4,33.3,5,A,1,1,34,Female,No,v13
dbd8a15d912096e2d89f819b,0.80,1,choice_first,4,4,2,4,685,1,2,20,40,40,30,30,40,6,B,1,1,33,Male,No,v13
19e27021e2ae105b8b4004a5,0.00,0,beliefs_first,2,2,4,5,697,1,1,0,100,0,0,100,0,4,B,1,1,61,Male,No,v13
2bb5126c6286cfbc1a8675fd,0.80,0,choice_first,2,2,5,5,649,0.9,1.2,32,9,59,50,8,42,5,B,1,1,28,Male,No,v13
e82c77c698312032e16b08af,2.00,1,choice_first,4,3,5,3,605,1,1.2,79,1,20,54,1,45,7,B,1,1,27,Male,Yes,v13
fe3a3c3906d0ec7effd79238,0.00,1,beliefs_first,4,3,4,4,877,0.75,1,40,20,40,50,20,30,6,B,1,1,30,Female,No,v13
e9d6a71534e99126a3b5652f,2.00,1,beliefs_first,2,2,4,4,776,0.98,0.98,45.5,9,45.5,45.5,9,45.5,5,A,1,1,30,Female,Yes,v13
c24f62748c3e4f53f0152d83,1.20,1,choice_first,2,2,4,4,643,0.75,1,45,10,45,45,10,45,6,A,1,1,28,Female,No,v13
6332c93e4bf67f1eda2c4558,1.60,0,choice_first,3,1,3,4,862,0.9,1,45.5,9,45.5,45.5,9,45.5,6,A,1,1,65,Male,No,v13
f7644ff18cd0804d1af9aab6,2.00,1,beliefs_first,4,4,4,3,890,1,1,45.5,9,45.5,45.5,9,45.5,4,B,1,1,49,Male,No,v13
c16533d16d178cfe4f7a3400,0.00,1,beliefs_first,2,2,4,4,947,0.2,0.23,70,20,10,70,20,10,6,A,1,1,62,Female,No,v13
0e88e27fe93b24ddbbfed872,2.00,0,beliefs_first,4,3,4,4,978,1,1,100,0,0,100,0,0,6,B,1,1,33,Female,No,v13
606ca2440d2910093a2a7f65,0.00,0,beliefs_first,4,3,5,4,1061,2,1.5,50,10,40,50,11,39,6,B,1,1,55,Female,No,v13
858b9abc32bc944ec0107e81,2.00,1,beliefs_first,2,3,5,5,967,1,1,35,30,35,35,30,35,7,A,1,1,62,Female,No,v13
102e1303d1d6b3809bb6cdf1,2.00,1,beliefs_first,2,3,5,4,785,1,0.8,45,10,45,45,10,45,6,A,1,1,33,Female,No,v13
b174b569111d2499dac7e7d0,1.00,0,choice_first,3,2,3,4,883,2,1,10,10,80,50,10,40,5,B,1,1,55,Male,No,v13
17f6752864d858f9446f321a,0.00,1,choice_first,3,3,3,4,608,1,1,50,5,45,50,5,45,5,A,1,1,27,Female,No,v13
aea62000dc51716ad612a6ab,0.60,0,choice_first,1,1,5,5,1807,1,2,60,20,20,40,30,30,5,B,1,1,38,Male,No,v13
39c908fdb336a02182d0c62d,0.00,1,beliefs_first,4,4,5,5,907,2,2,40,20,40,40,20,40,7,A,1,1,43,Female,Yes,v13
d3301a2b28e6f1f0b625126c,0.40,1,choice_first,4,3,4,4,327,1,1,40,10,50,40,10,50,5,A,1,1,27,Female,No,v13
6be06246a9ab76df2b7159c6,2.00,0,beliefs_first,3,2,5,2,342,1,0.8,45,10,45,47,8,45,3,B,1,1,19,Female,Yes,v13
