id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,cond_presentation,short,df
Your Prolific ID:,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,Timing - 11 - Timing - Page Submit,sampling_noiseless,1,prereg
000000000000000000000000,1.329,0.415,0.415,0.372,0.377,0.357,0.43,0.373,0.415,0.403,0.655,sampling_noiseless,1,prereg
9c2a276668310d20bbee356f,1.391,0.88,1.646,0.563,0.367,1.155,0.575,0.548,0.571,0.301,0.768,sampling_noiseless,1,prereg
02e718572c3227791c87f4d0,3.793,2.424,0.969,1.071,0.801,0.749,0.815,0.92,0.629,0.849,0.99,sampling_noiseless,1,prereg
53fd30b921af44b44278d9df,5.535,2.368,2.526,4.584,2.507,1.245,1.348,1.56,1.275,1.272,1,sampling_noiseless,1,prereg
417f5ea4a534c090c79dc96a,2.104,0.765,1.196,0.787,0.963,0.889,0.712,0.158,0.361,2.399,0.531,sampling_noiseless,1,prereg
2f4f77cf3516dd65fe654bbf,7.381,4.468,1.685,1.873,1.245,0.783,0.649,0.918,0.795,0.754,2.623,sampling_noiseless,1,prereg
aa557b3c9888532c2f643d56,7.404,3.656,1.178,0.701,0.424,0.678,0.661,0.47,0.685,1.495,2.734,sampling_noiseless,1,prereg
bf46d0ff0554a93d77355184,4.031,6.896,2.53,1.23,1.053,4.829,1.974,2.02,1.519,1.957,1.829,sampling_noiseless,1,prereg
7d86f34d5ad77bd1d988d9be,4.552,9.032,3.17,1.537,1.641,4.068,1.387,1.043,1.064,1.113,1.599,sampling_noiseless,1,prereg
dd467f569e1f80ae3adb312a,2.068,0.879,0.77,0.622,0.778,2.134,0.857,0.565,1.306,0.9,2.84,sampling_noiseless,1,prereg
68d15344adea8e48c2040682,2.905,1.924,1.642,1.44,0.987,1.454,0.861,1.398,0.873,0.687,0.647,sampling_noiseless,1,prereg
