"id","round1_combined_array","df"
"000000000000000000000000","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"4f2610137efc97f40470aaa8","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"edc58f60501e43befc468609","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"dba4bdf46518bb6e9e64f3ae","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"07e57b40d0580dd9381e2115","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"9f98050d53affdc6007cbd37","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"4f230aae6be723eeda655efe","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"afbb1f800f11b16166140c92","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"93991f4f07d0210d6a4f03e8","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"a1fa0bd70a2ffbca71523325","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"6d1139766e2d709b49affb7d","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"fe592d8635e563dd8de90b8f","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"88726de2e70d0f9949e9958d","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"ce422f4cb10a8648994a8f40","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"69d2efbfa80f3d07aa84d1ec","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"0ca97f38450b444379766d20","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"946761fc01fd4c63a949f6e2","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"b755a547076b752e709fabef","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"9b5a4f29f95e2e93d3d53476","[1.00,2.00];[0.00,1.00];[2.00,0.00]","v24"
"4b0b9b72de4e03b048ebaf3e","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"525fd4636d9757b286cf79b7","[0.00,1.00];[2.00,0.00];[1.00,2.00]","v24"
"aa7aa5bca19525cad452fab7","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"b832088d77795a8afff7c4bd","[2.00,0.00];[1.00,2.00];[0.00,1.00]","v24"
"","[1.00,2.00];[2.00,0.00];[0.00,1.00]","v24"
"df82a102e1a9628f2c829b6e","[0.00,1.00];[1.00,2.00];[2.00,0.00]","v24"
"503780fa414925d00988751e","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
"4985f27ed5cf751daa8a4d3e","[2.00,0.00];[0.00,1.00];[1.00,2.00]","v24"
