"id","round1_combined_array","df"
"000000000000000000000000","[0.88,1.05];[0.70,0.88];[0.50,0.70];[1.68,1.88];[1.88,2.07];[0.30,0.50];[1.48,1.68];[1.30,1.48];[1.05,1.30];[0.05,0.30];[2.07,0.05]","v27"
"","[1.88,2.07];[0.30,0.50];[1.30,1.48];[0.88,1.05];[0.05,0.30];[1.05,1.30];[0.70,0.88];[2.07,0.05];[1.68,1.88];[0.50,0.70];[1.48,1.68]","v27"
"","[1.30,1.48];[2.07,0.05];[0.05,0.30];[0.30,0.50];[0.88,1.05];[1.68,1.88];[0.70,0.88];[0.50,0.70];[1.48,1.68];[1.88,2.07];[1.05,1.30]","v27"
"","[0.70,0.88];[0.88,1.05];[2.07,0.05];[1.88,2.07];[1.30,1.48];[0.30,0.50];[1.48,1.68];[0.05,0.30];[0.50,0.70];[1.68,1.88];[1.05,1.30]","v27"
"3d9ee7f2295bbe56e1699da6","[0.05,0.30];[1.68,1.88];[0.70,0.88];[0.30,0.50];[1.88,2.07];[1.48,1.68];[2.07,0.05];[1.30,1.48];[0.50,0.70];[0.88,1.05];[1.05,1.30]","v27"
"576c2f7e6554c27c8404a60a","[0.05,0.30];[0.30,0.50];[1.30,1.48];[0.50,0.70];[1.05,1.30];[1.88,2.07];[0.70,0.88];[0.88,1.05];[2.07,0.05];[1.48,1.68];[1.68,1.88]","v27"
"6680199dd1811cd6a110789b","[0.70,0.88];[1.05,1.30];[0.30,0.50];[0.50,0.70];[2.07,0.05];[1.68,1.88];[1.30,1.48];[0.05,0.30];[1.88,2.07];[1.48,1.68];[0.88,1.05]","v27"
"e100bd27821893767dc98803","[1.48,1.68];[0.50,0.70];[2.07,0.05];[1.05,1.30];[1.30,1.48];[1.68,1.88];[0.05,0.30];[1.88,2.07];[0.88,1.05];[0.70,0.88];[0.30,0.50]","v27"
"8cdf75be2cd144d2e68fded0","[1.05,1.30];[1.68,1.88];[0.05,0.30];[1.88,2.07];[0.70,0.88];[0.88,1.05];[1.30,1.48];[0.50,0.70];[2.07,0.05];[0.30,0.50];[1.48,1.68]","v27"
"65843c06c79cbb323e5f92e3","[0.88,1.05];[0.05,0.30];[1.88,2.07];[1.68,1.88];[0.70,0.88];[1.05,1.30];[0.30,0.50];[0.50,0.70];[2.07,0.05];[1.30,1.48];[1.48,1.68]","v27"
"c5921c29a01ea3f111e7c0b2","[1.68,1.88];[0.30,0.50];[0.50,0.70];[0.05,0.30];[0.70,0.88];[1.88,2.07];[0.88,1.05];[1.05,1.30];[1.30,1.48];[1.48,1.68];[2.07,0.05]","v27"
"","[1.68,1.88];[1.48,1.68];[0.88,1.05];[1.30,1.48];[0.70,0.88];[0.50,0.70];[0.30,0.50];[2.07,0.05];[1.88,2.07];[1.05,1.30];[0.05,0.30]","v27"
