id,choiceB,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,age,sex,student,df,cond
434f0c7705c314d474694a39,0,beliefs_first,3,2,3,2,528,0.9,1,48,2,50,50,2,48,6,A,0,1,33,Female,Yes,NoBox,Description
96ec9cc108ae7ec3675e6741,1,choice_first,3,2,3,3,687,1,1,49.8,0.4,49.8,49.8,0.4,49.8,6,A,0,1,32,Male,No,NoBox,Description
2c66b7df7bdf587d2a89dc15,1,choice_first,4,1,5,5,675,0.5,1,25,50,25,25,50,25,7,B,0,1,39,Male,No,NoBox,Description
3791bd5c6de9692a1d200ce3,1,choice_first,4,3,4,5,669,1,1,50,10,40,60,10,30,4,A,1,1,33,Female,No,NoBox,Description
5d404ebeb701aaffdaa8ebd1,0,choice_first,3,4,5,4,675,1,1.1,49,2,49,48,1,51,6,A,0,1,26,Female,No,NoBox,Description
463eb737b9b44b76d12b60e1,0,beliefs_first,3,2,3,3,728,0.75,0.75,46,9,45,46,9,45,1,A,1,1,25,Female,DATA_EXPIRED,NoBox,Description
ad06ce4c23d96448fc58565b,1,choice_first,5,4,4,4,769,1,1.25,45,10,45,40,10,50,6,B,1,1,42,Male,No,NoBox,Description
9d9c225f1d4691d69c524339,1,beliefs_first,3,2,5,5,683,1,0.75,45,10,45,50,10,40,1,B,1,1,32,Female,No,NoBox,Description
fea840aea6deb1414257608e,0,beliefs_first,2,4,3,4,834,0.98,0.98,49.1,1.8,49.1,49.1,1.8,49.1,1,A,0,1,40,Male,No,NoBox,Description
f75a5cd63fcd80af75488d2e,0,beliefs_first,3,1,4,2,704,1,0.9,33,33,34,33,33,34,7,A,0,1,38,Male,No,NoBox,Description
c191ca3643c1b5a0c8df2ed6,0,choice_first,4,4,4,3,845,1,0.8,45,10,45,50,10,40,6,A,1,1,52,Male,No,NoBox,Description
b47ab392be16fae9e977bc08,1,choice_first,2,2,4,4,722,0.73,0.65,0,9.1,90.9,0,9.1,90.9,7,A,1,1,32,Female,No,NoBox,Description
