experiment,id,round,block,position,nPairs,isLastPair,outcomeA,outcomeB,spread,viewTime,choiceB,whichFirst,a3Col
v17 (Record),8906579825c0807ca50ca1ed,1,single,1,11,0,1.6,1.8,0.2,23.937,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,2,11,0,0.2,0.4,0.2,13.845,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,3,11,0,0.6,0.8,0.2,14.169,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,4,11,0,0.4,0.6,0.2,5.789,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,5,11,0,1,1.2,0.2,8.042,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,6,11,0,1.2,1.4,0.2,4.901,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,7,11,0,2,0,2,6.45,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,8,11,0,1.8,2,0.2,6.563,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,9,11,0,0.8,1,0.2,6.858,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,10,11,0,0,0.2,0.2,5.219,1,A,NA
v17 (Record),8906579825c0807ca50ca1ed,1,single,11,11,1,1.4,1.6,0.2,6.515,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,1,11,0,0.2,0.4,0.2,5.737,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,2,11,0,1,1.2,0.2,3.163,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,3,11,0,0.8,1,0.2,1.91,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,4,11,0,1.4,1.6,0.2,1.495,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,5,11,0,0.6,0.8,0.2,0.703,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,6,11,0,0.4,0.6,0.2,0.555,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,7,11,0,2,0,2,2.691,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,8,11,0,0,0.2,0.2,1.043,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,9,11,0,1.2,1.4,0.2,0.894,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,10,11,0,1.6,1.8,0.2,0.496,1,A,NA
v17 (Record),30d079373effe6f2b3b8fdec,1,single,11,11,1,1.8,2,0.2,0.79,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,1,11,0,0,0.2,0.2,5.339,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,2,11,0,0.2,0.4,0.2,1.47,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,3,11,0,1.8,2,0.2,2.188,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,4,11,0,0.8,1,0.2,1.093,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,5,11,0,1.2,1.4,0.2,1.041,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,6,11,0,2,0,2,1.249,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,7,11,0,0.6,0.8,0.2,1.061,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,8,11,0,1.4,1.6,0.2,0.995,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,9,11,0,0.4,0.6,0.2,0.896,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,10,11,0,1.6,1.8,0.2,0.943,1,A,NA
v17 (Record),32bbc39e686146242e3b985f,1,single,11,11,1,1,1.2,0.2,1.078,1,A,NA
v17 (Record),5cd4e053e7c5055f707f9221,1,single,1,11,0,1.6,1.8,0.2,24.061,0,A,NA
