id,bonus_payment,choiceB,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,oddState,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,age,sex,student,df
f7d1e5fed9ecd1e5c6eda607,1.68,1,choice_first,4,4,4,4,286,left,1,1,45,10,45,45,10,45,6,B,1,1,37,Male,No,v11
7037b381235103c05b7e7c29,0.00,0,beliefs_first,4,1,4,3,408,right,1,1,37,25,38,37,25,38,5,A,1,1,50,Female,No,v11
f762decaeb0402dbec73add0,0.00,0,beliefs_first,4,1,4,3,318,right,1,1,49,2,49,49,2,49,4,B,0,1,31,Male,No,v11
3950d6d63acc2b8e4530b2d2,2.00,1,beliefs_first,2,5,4,4,497,left,1,1,49,2,49,49,2,49,7,A,0,1,42,Male,No,v11
71a4691c66033a00623d8a24,0.52,0,choice_first,4,4,4,5,329,left,1.2,1,40,10,50,45,10,45,7,A,1,1,27,Female,No,v11
e538fe01b027bbb408189693,0.00,1,beliefs_first,4,3,3,4,644,left,0.95,1.15,25,50,25,18,65,17,5,B,1,1,47,Male,No,v11
afceb6db432561363eb92bfb,0.00,1,beliefs_first,1,2,5,5,608,right,0.5,0.6,20,20,60,20,30,50,5,A,1,1,54,Female,No,v11
ed0e405d4c0d903625bf5f0a,2.00,0,beliefs_first,5,2,3,2,608,right,1.25,0.5,25,0,75,100,0,0,5,B,1,1,27,Female,No,v11
5e54c84228b7593af43067d0,0.00,0,beliefs_first,3,4,5,4,714,right,1,0.9,30,35,35,35,30,35,5,B,1,1,31,Male,No,v11
bb5c35b35579e26a85945c68,2.00,0,beliefs_first,2,1,2,2,432,left,1,1,33.3,33.3,33.4,33.4,33.3,33.3,4,B,1,1,39,Female,No,v11
92aac8062d3bf076c58ff0ef,1.40,1,choice_first,4,3,4,4,643,right,1.25,1,20,40,40,40,40,20,6,B,1,1,33,Male,Yes,v11
a88bd537721266e301952046,2.00,0,beliefs_first,2,1,2,2,675,left,1.2,1,40,10,50,45,10,45,6,A,1,1,33,Female,No,v11
e3e85efbc2bed4b6e145c81c,0.00,0,beliefs_first,4,3,4,5,757,left,1.6,2,30,30,40,35,25,40,5,B,0,1,56,Male,No,v11
a00dccfec8cdd666456b8321,2.00,0,beliefs_first,4,2,4,4,613,right,1,1,49,2,49,49,2,49,4,A,0,1,33,Female,No,v11
647f59a76cb4ce44089ed8de,1.48,1,choice_first,1,2,4,4,792,left,1,0.96,34,33,33,34,33,33,5,B,0,1,34,Male,No,v11
af47d68781751ad8ddf2847c,0.24,1,choice_first,2,3,4,4,340,right,0.9,1,50,10,40,50,10,40,5,B,1,1,31,Male,No,v11
0ff1d6718a190739f3c095fd,0.00,1,choice_first,2,4,4,4,822,right,1,1,45,10,45,45,10,45,6,B,1,1,51,Male,No,v11
46290455284cad4788a37d7b,0.00,1,beliefs_first,3,3,4,4,598,right,1,1,45,10,45,45,10,45,1,B,1,1,36,Male,No,v11
809f7233f8fea1ef7e135749,0.00,0,beliefs_first,3,2,1,1,818,left,1,1,48,4,48,48,4,48,4,A,0,1,43,Male,Yes,v11
17c80c3efdc14a7ceabbede1,0.00,1,choice_first,2,4,3,4,390,left,0.99,1,36,9,55,10,45,45,5,A,1,1,27,Male,Yes,v11
7121a453c25eab8e0426148d,0.80,0,choice_first,2,4,3,3,609,left,1,1,45,10,45,45,10,45,3,A,1,1,34,Female,No,v11
054020f8288f3e36899d67c3,0.96,0,choice_first,3,3,5,5,915,left,0.94,1,45,2,53,2,49,49,5,A,0,1,24,Female,No,v11
6a896ae58fc9390c132a27bd,0.60,0,choice_first,1,1,4,2,808,left,2,1.96,10,10,80,80,10,10,4,B,0,1,54,Female,No,v11
b33c72d1597d69c71e9fd485,1.80,0,choice_first,4,1,5,4,985,right,1,1,33,34,33,33,34,33,7,B,0,1,31,Male,No,v11
c0591633a9e9dd438e4d0e40,1.28,0,choice_first,4,3,4,4,644,right,1.08,1,0,0,100,80,10,10,6,A,1,1,28,Female,Yes,v11
f6516dc79d4014cfd59266f4,1.20,1,choice_first,4,2,4,4,1053,left,1.1,1,41,9,50,41,9,50,5,A,1,1,37,Male,No,v11
d52fc3e88685bc36d54bba75,1.60,1,choice_first,4,2,1,3,1037,right,1,1,30,50,20,25,50,25,7,A,1,1,53,Female,Yes,v11
a16892e52ed98641ec671861,2.00,1,choice_first,3,3,3,5,1139,left,1.65,1.8,20,2,78,20,2,78,6,A,1,1,51,Male,No,v11
d87bdc3914318f2eb89acfe8,0.00,0,beliefs_first,3,2,4,4,1077,left,1.25,1,15,55,30,25,50,25,5,A,0,1,26,Female,No,v11
f6a287bacab5f2329b0ba644,0.76,1,choice_first,3,2,5,5,981,left,1.1,1,48,2,50,49,2,49,5,A,0,1,35,Male,No,v11
9556d536c24f5daaddfb8525,1.80,0,choice_first,4,3,4,4,1235,right,0.9,1,30,40,30,20,50,30,5,B,0,1,28,Male,DATA_EXPIRED,v11
7ee7769f1e1478a6235accf4,0.00,1,beliefs_first,4,3,4,4,503,left,0.8,1,48,4,48,42,4,54,5,A,1,1,45,Female,No,v11
d41d8049002d4f8872e9465d,0.00,0,beliefs_first,4,4,5,4,1248,right,1,0,51,1,48,45,5,50,7,B,1,1,38,Male,No,v11
008d0731a46233e640636dd8,0.60,1,choice_first,4,3,4,4,1164,left,2,2,0,50,50,0,50,50,6,A,1,1,43,Female,No,v11
e3b160d6b774c7f5192e2953,0.20,0,choice_first,4,2,4,4,1288,left,1,1,45,10,45,45,10,45,7,A,1,1,67,Male,No,v11
b3c508cdc39259e56db0f66b,0.00,0,beliefs_first,2,1,5,5,1315,right,0.8,1,100,0,0,0,90,10,5,A,1,1,75,Male,No,v11
f7ee36b69d3d7143ea82f9ab,1.52,0,choice_first,3,1,5,5,1233,left,0.08,0.04,50,20,30,50,25,25,5,B,0,1,50,Female,No,v11
cb3a3f391380b38116c9fc96,2.00,0,beliefs_first,2,2,4,4,485,left,1,0.85,20,30,50,35,35,30,5,A,1,1,35,Female,No,v11
f11f54084b0ccb5363ba25f7,0.72,1,choice_first,4,4,3,1,453,right,2,2,0,0,100,0,0,100,7,A,1,1,60,Male,Yes,v11
f11f54084b0ccb5363ba25f7,0.72,1,choice_first,4,4,3,1,453,right,2,2,0,0,100,0,0,100,7,A,1,1,60,Male,Yes,v11
f11f54084b0ccb5363ba25f7,0.72,1,choice_first,4,4,3,1,453,right,2,2,0,0,100,0,0,100,7,B,1,1,60,Male,Yes,v11
b15c58514d640a897784c3f5,0.60,0,choice_first,3,1,5,5,1359,left,1.1,1,33,10,57,33,34,33,5,A,1,1,36,Female,No,v11
492406d655a3d8ac0d783df5,1.00,1,choice_first,5,5,5,5,1339,left,2,2,40,30,30,20,50,30,5,B,0,1,51,Female,Yes,v11
003aef09cab38c006e6621f2,1.00,1,choice_first,2,2,5,4,1406,left,1,1,45.45,9.1,45.45,45.45,9.1,45.45,6,A,1,1,36,Male,No,v11
9baa6446682b9ae940be5f0b,0.60,0,choice_first,4,3,5,5,1440,left,0.82,1,45.45,9.1,45.45,45.45,9.1,45.45,4,A,1,1,25,Male,No,v11
7ab4c373b45c8a2623a72593,2.00,0,beliefs_first,3,2,2,4,1396,right,0.94,1.35,52,8,40,55,15,30,5,A,1,1,35,Female,No,v11
242e0c0408fe82410df70446,0.00,1,beliefs_first,2,1,5,5,1068,left,1,1.5,34,33,33,34,33,33,1,B,1,1,47,Female,No,v11
cf3e72113b7d73aed399c9f5,0.00,0,choice_first,2,1,4,4,1403,right,0.2,0.2,45,10,45,45,10,45,4,B,1,1,25,Female,No,v11
e373b6bb918f31a2e4a45d27,0.40,0,choice_first,2,1,4,5,1602,right,1,1,47,6,47,52,6,42,7,A,1,1,39,Female,No,v11
23b6fd24ac1bca0d1f8b7063,0.00,1,beliefs_first,4,1,5,5,1501,right,1,1,20,35,45,15,35,50,4,B,0,1,33,Female,Yes,v11
140a76100069ba066eb73355,1.92,1,choice_first,3,3,4,4,1665,left,1,1,45,10,45,45,10,45,4,A,1,1,36,Female,No,v11
2da36225bec3802b46c85f58,1.32,0,choice_first,4,4,4,3,1832,left,1,1,30,50,20,30,50,20,6,A,1,1,35,Male,Yes,v11
cae975761cae966f91ba6b69,2.00,0,beliefs_first,4,3,3,4,999,left,1.02,1,45,5,50,50,5,45,6,A,0,1,56,Male,No,v11
ae53ad4de5928151b05383fd,0.00,0,beliefs_first,2,1,5,4,2048,right,1,0.8,35,25,40,33,33,34,7,B,1,1,22,Female,Yes,v11
df815375cac4acfa883ba8d0,2.00,0,beliefs_first,4,2,3,4,2449,right,0.95,0.8,49,2,49,51,1,48,6,B,0,1,37,Female,No,v11
260de99d35f1080c5797e709,0.00,0,beliefs_first,4,3,5,3,2563,left,1,1,50,10,40,50,10,40,1,A,1,1,24,Female,No,v11
e25d1706e92abb667901d237,0.80,0,choice_first,2,2,4,3,806,right,1,0.5,50,20,30,65,10,25,7,B,1,1,37,Female,No,v11
35d0527d344dc8caeb4a6415,0.00,0,beliefs_first,4,4,4,4,2054,left,2,2,50,40,10,40,30,30,6,B,0,1,49,Male,Yes,v11
a8849b3f285449114efe119d,0.00,1,choice_first,3,4,4,3,878,right,0.75,1.5,20,15,65,25,10,65,6,B,1,1,28,Male,Yes,v11
8ff67afacab5727b8612fd5c,0.00,0,beliefs_first,4,1,5,5,2327,left,1,0.9,49,2,49,54,2,44,7,A,0,1,54,Male,No,v11
4a9d108fecaad493f28867dc,0.00,0,beliefs_first,4,3,4,4,980,left,1,1,50,30,20,30,30,40,5,B,1,1,23,Male,No,v11
f11f54084b0ccb5363ba25f7,0.00,1,beliefs_first,5,5,2,1,979,right,2,2,0,0,100,0,0,100,4,A,1,1,60,Male,Yes,v11
f11f54084b0ccb5363ba25f7,0.00,1,beliefs_first,5,5,2,1,979,right,2,2,0,0,100,0,0,100,4,A,1,1,60,Male,Yes,v11
f11f54084b0ccb5363ba25f7,0.00,1,beliefs_first,5,5,2,1,979,right,2,2,0,0,100,0,0,100,4,B,1,1,60,Male,Yes,v11
f11f54084b0ccb5363ba25f7,0.00,1,beliefs_first,4,5,4,2,203,right,2,2,0,0,100,0,0,100,7,A,0,1,60,Male,Yes,v11
f11f54084b0ccb5363ba25f7,0.00,1,beliefs_first,4,5,4,2,203,right,2,2,0,0,100,0,0,100,7,A,0,1,60,Male,Yes,v11
f11f54084b0ccb5363ba25f7,0.00,1,beliefs_first,4,5,4,2,203,right,2,2,0,0,100,0,0,100,7,B,0,1,60,Male,Yes,v11
f7d1e5fed9ecd1e5c6eda607,1.68,1,choice_first,4,4,4,4,286,left,1,1,49.5,1,49.5,49.5,1,49.5,5,B,0,2,37,Male,No,v11
7037b381235103c05b7e7c29,0.00,0,beliefs_first,4,1,4,3,408,right,1,1,37,25,38,37,25,38,5,B,0,2,50,Female,No,v11
f762decaeb0402dbec73add0,0.00,1,beliefs_first,4,1,4,3,318,right,1,1,49,2,49,49,2,49,6,B,1,2,31,Male,No,v11
3950d6d63acc2b8e4530b2d2,2.00,1,beliefs_first,2,5,4,4,497,left,1,1,45.5,9,45.5,45.5,9,45.5,7,B,1,2,42,Male,No,v11
71a4691c66033a00623d8a24,0.52,0,choice_first,4,4,4,5,329,left,1.2,1,48,2,50,49,2,49,7,A,0,2,27,Female,No,v11
e538fe01b027bbb408189693,0.00,1,beliefs_first,4,3,3,4,644,left,1.1,1.15,15,60,25,25,55,20,5,B,0,2,47,Male,No,v11
afceb6db432561363eb92bfb,0.00,0,beliefs_first,1,2,5,5,608,right,1.5,1.75,0,50,50,0,30,70,2,A,0,2,54,Female,No,v11
ed0e405d4c0d903625bf5f0a,2.00,0,beliefs_first,5,2,3,2,608,right,2,0,25,0,75,100,0,0,6,B,0,2,27,Female,No,v11
5e54c84228b7593af43067d0,0.00,1,beliefs_first,3,4,5,4,714,right,1,1.05,35,27,38,35,29,36,3,A,0,2,31,Male,No,v11
bb5c35b35579e26a85945c68,2.00,1,beliefs_first,2,1,2,2,432,left,1,1,33.3,33.3,33.4,33.3,33.3,33.4,4,B,0,2,39,Female,No,v11
92aac8062d3bf076c58ff0ef,1.40,1,choice_first,4,3,4,4,643,right,1,1,40,40,20,20,40,40,6,B,0,2,33,Male,Yes,v11
a88bd537721266e301952046,2.00,1,beliefs_first,2,1,2,2,675,left,1,1,45,10,45,45,10,45,2,B,0,2,33,Female,No,v11
e3e85efbc2bed4b6e145c81c,0.00,0,beliefs_first,4,3,4,5,757,left,1.8,1.4,20,15,65,35,35,30,7,B,1,2,56,Male,No,v11
a00dccfec8cdd666456b8321,2.00,0,beliefs_first,4,2,4,4,613,right,1,1.15,49,2,49,49,2,49,4,B,1,2,33,Female,No,v11
647f59a76cb4ce44089ed8de,1.48,0,choice_first,1,2,4,4,792,left,1.2,1.1,60,30,10,65,25,10,6,A,1,2,34,Male,No,v11
