id,bonus_payment,choiceB,rand_long_short_order,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,age,sex,student,df
8906579825c0807ca50ca1ed,2.00,1,short_first,beliefs_first,3,2,4,4,548,1,1,0,100,0,0,100,0,6,A,1,1,23.937,13.845,14.169,5.789,8.042,4.901,6.45,6.563,6.858,5.219,6.515,25,Male,No,v17
30d079373effe6f2b3b8fdec,1.60,1,short_first,choice_first,4,4,4,4,459,2,2,20,60,20,0,60,40,6,A,1,1,5.737,3.163,1.91,1.495,0.703,0.555,2.691,1.043,0.894,0.496,0.79,30,Male,Yes,v17
32bbc39e686146242e3b985f,1.80,1,short_first,choice_first,2,4,5,5,695,1.1,1.24,37,18,45,45,9,46,6,A,1,1,5.339,1.47,2.188,1.093,1.041,1.249,1.061,0.995,0.896,0.943,1.078,23,Female,No,v17
5cd4e053e7c5055f707f9221,0.00,0,short_first,beliefs_first,2,2,3,3,824,1.5,1.5,30,5,65,30,5,65,2,A,1,1,24.061,43.737,8.243,6.721,6.293,7.833,7.716,10.58,7.002,6.233,7.435,34,Male,No,v17
6a3f3fac4afd73f8ae204164,0.00,1,short_first,beliefs_first,4,3,5,5,811,1,1,50,10,40,40,10,50,6,B,1,1,88.959,12.16,9.23,9.217,7.851,8.722,8.402,6.881,6.636,6.8,7.805,26,Male,Yes,v17
fbb58418c8f3857804d2d0b3,2.00,1,short_first,choice_first,4,4,4,4,567,0.2,0.6,90,10,0,80,10,10,6,A,1,1,9.115,2.696,2.683,4.882,1.84,1.317,1.238,1.537,1.525,2.268,3.23,42,Female,No,v17
e02064fa45ad1ee9deea6494,0.20,0,short_first,choice_first,4,3,3,4,779,1,1,45,10,45,45,10,45,6,A,1,1,16.6,11.538,5.687,5.401,3.828,4.628,8.784,5.3,7.083,5.765,5.618,27,Female,No,v17
34a330cdbb9238e7e7fb7731,0.00,1,short_first,beliefs_first,1,2,4,2,837,1.2,1.4,10,20,70,5,60,35,4,A,1,1,22.851,17.732,20.694,12.282,10.837,13.411,15.354,15.815,15.639,14.279,14.529,65,Female,No,v17
0448d4452d1b5fe9ac68c605,1.00,1,short_first,choice_first,3,4,4,4,860,1,1,45.5,9,45.5,36,9,55,7,B,1,1,13.508,5.525,5.537,4.421,7.773,6.844,5.748,9.202,4.136,5.702,6.566,41,Male,No,v17
2da05e4fe23c54ebc0703b43,2.00,0,short_first,beliefs_first,4,3,3,3,890,1,1,30,30,40,20,40,40,4,A,1,1,16.595,9.332,25.979,20.086,3.953,2.386,1.206,0.597,3.781,2.474,3.374,38,Male,No,v17
6e98c610d57a817d6c777620,2.00,1,short_first,beliefs_first,2,4,4,2,961,1,1,45,10,45,45,10,45,5,A,1,1,13.946,8.164,8.408,6.679,8.42,6.686,6.204,6.957,5.567,6.129,6.708,28,Female,No,v17
236a148a4833dc3c371f01e3,2.00,0,short_first,choice_first,2,4,4,4,1074,2,2,46,8,46,36,9,55,4,B,1,1,7.9,14,6.312,5.087,12.64,5.201,4.348,4.952,5.079,5.341,4.373,31,Male,No,v17
17b8cd4cc1a7de70cb33a763,0.00,0,short_first,beliefs_first,1,1,4,4,953,1.1,1,60,20,20,70,15,15,5,A,1,1,12.765,6.764,5.911,5.506,5.607,13.709,6.872,6.477,6.04,4.846,6.158,37,Female,No,v17
d4dfe8e4622cc0c8bc94177c,0.00,1,short_first,beliefs_first,4,3,4,4,1028,1.2,0.8,45,25,30,35,37,28,5,B,1,1,7.386,8.608,3.689,3.792,2.662,1.736,1.376,2.039,1.103,1.066,3.445,46,Male,No,v17
e5faacd773c8f544a85fddd4,0.00,0,short_first,beliefs_first,3,3,5,4,659,1,1,33.33,33.34,33.33,33.33,33.34,33.33,4,A,1,1,12.162,11.581,9.46,10.725,9.727,11.533,9.901,8.376,8.879,9.205,8.02,26,Female,Yes,v17
35f91f4f3af7c479932748d0,1.20,1,short_first,choice_first,3,2,5,4,1139,1,2,25,10,65,75,5,20,4,B,1,1,3.467,12.626,2.384,2.658,1.874,1.942,1.951,0.227,2.183,2.256,2.509,32,Female,No,v17
0aa4789bf348294ee98433c6,0.00,0,short_first,beliefs_first,3,2,4,4,1154,1,1,0,100,0,98,2,0,4,B,1,1,17.371,6.996,8.609,6.801,6.716,5.528,4.818,5.187,5.401,6.466,4.691,42,Female,No,v17
5d7db42291e03fa39350579d,0.00,1,short_first,beliefs_first,4,2,3,3,1484,1,1.04,49,13,38,47,14,39,5,A,1,1,26.301,11.541,11.757,18.873,14.986,11.671,9.238,19.603,14.613,14.158,11.997,40,Male,No,v17
d6a2ca5992e78796b6c340bb,2.00,0,short_first,beliefs_first,3,2,4,4,1528,1,1,45.5,9,45.5,45.5,9,45.5,1,B,1,1,27.321,8.956,6.641,6.946,9.934,7.949,4.777,6.233,6.989,5.59,6.354,32,Male,No,v17
b166b162e7b6e7c114144ef9,2.00,1,short_first,beliefs_first,3,4,4,4,701,1,1,42,7,51,45,5,50,5,B,1,1,12.066,7.92,12.467,5.407,4.565,5.676,5.566,4.467,5.145,5.307,5.239,58,Female,No,v17
fcb94ecd0d8dba5690e4b074,0.20,0,short_first,choice_first,4,3,5,5,1744,1,1,45,10,45,45,10,45,7,B,1,1,28.601,13.3,9.5,15.526,12.632,10.823,7.469,8.123,6.002,9.97,9.023,31,Male,No,v17
4cbe741eb0f6403a42fe5222,1.40,1,short_first,choice_first,4,3,5,5,1756,1.09,1.07,10,20,70,5,20,75,7,A,1,1,28.428,24.044,25.922,22.552,21.021,17.495,22.111,16.18,18.05,18.147,21.045,50,Female,No,v17
4a18e720554e4457a0bc6dfb,0.00,0,short_first,choice_first,5,5,5,5,1830,1,1,0,100,0,0,100,0,4,B,1,1,25.152,15.635,6.48,5.519,5.845,4.125,4.097,8.724,5.714,6.515,5.324,27,Male,No,v17
4bf298276b6ffa5651513c15,2.00,1,short_first,beliefs_first,4,2,3,4,1138,1,1,30,20,50,10,15,75,6,A,1,1,2.224,1.054,0.801,0.7,0.751,2.949,0.893,1.649,0.897,1.17,0.98,49,Female,Yes,v17
2fade1353d8e34bd99d319dd,2.00,0,short_first,beliefs_first,5,4,4,4,1953,1.1,1.1,45,10,45,45,10,45,5,B,1,1,16.586,6.588,8.169,4.793,4.203,8.332,2.931,4.047,5.502,3.332,4.505,26,Male,No,v17
b2efb5afaa65af71bad18e06,0.00,1,short_first,beliefs_first,3,2,5,4,2697,1.13,0.95,40,20,40,50,20,30,5,A,1,1,40.334,25.22,40.052,13.228,14.036,24.427,11.254,67.476,16.022,10.833,13.733,53,Female,DATA_EXPIRED,v17
0f6e03372b93f49208035361,0.00,0,short_first,beliefs_first,5,3,4,4,795,1,1,25,50,25,25,50,25,4,B,1,1,31.189,9.073,5.794,20.074,6.045,5.36,4.463,4.865,4.275,3.648,4.958,31,Male,Yes,v17
5b6bde0fb8256aff89ed3e95,1.60,1,short_first,choice_first,4,2,4,4,430,1.8,2,25,45,30,30,50,20,5,B,1,1,2.595,1.014,1.494,0.424,0.496,0.207,0.213,0.369,0.102,0.271,0.425,32,Female,No,v17
98f2ab0bc0c059cecd78e525,0.00,0,short_first,choice_first,2,4,4,5,540,1,1,0,100,0,0,100,0,1,B,1,1,7.823,4.448,3.396,2.253,2.247,2.004,2.287,2.001,1.305,1.871,1.787,35,Male,No,v17
95e91468d82d576592e23fc3,0.00,0,short_first,beliefs_first,5,3,4,5,369,1,1,20,30,50,40,30,30,6,A,1,1,6.037,2.319,3.102,0.855,1.235,0.957,0.763,0.476,0.489,0.69,1.14,31,Female,DATA_EXPIRED,v17
97575bcb9aa6b7ff0a2812d8,0.00,0,short_first,beliefs_first,2,1,4,4,429,1.5,1.5,20,30,50,20,30,50,4,A,1,1,6.789,3.55,1.757,0.713,0.807,0.502,0.133,0,0.203,0.795,0.736,23,Male,No,v17
2037a8739dd5e9d2f20b97df,0.00,1,short_first,beliefs_first,2,1,5,5,650,0.8,0.9,30,10,60,30,10,60,5,B,1,1,20.787,11.96,16.454,7.949,6.801,7.173,5.461,7.2,7.091,5.816,4.561,45,Female,No,v17
6d0ddcf981e59d88fb9f3d50,0.40,0,short_first,choice_first,1,3,5,5,794,1.16,1.07,40,10,50,50,10,40,6,A,1,1,13.944,28.239,21.828,10.056,11.773,9.599,6.339,5.994,7.599,5.917,6.194,29,Female,No,v17
cdbf6f1c0798ca48609aedba,0.20,1,short_first,choice_first,3,4,3,3,651,0.8,1.2,45,10,45,55,10,35,5,A,1,1,6.528,2.842,2.375,2.878,2.379,2.349,1.817,2.106,2.747,2.035,1.451,25,Female,No,v17
5cd2fd081ec1c37224e49d55,1.80,0,short_first,choice_first,3,4,4,4,911,1,1,45.5,9,45.5,45.5,9,45.5,6,B,1,1,13.017,11.367,8.632,7.655,7.498,6.906,7.015,7.279,7.759,7.607,7.276,34,Male,No,v17
0d4d75ad718ca8ad9cbc49d7,0.00,1,short_first,beliefs_first,3,3,5,5,968,1,1,25,50,25,25,50,25,7,A,1,1,17.759,10.68,7.484,7.346,9.21,9.226,8.101,7.508,9.65,5.987,6.074,46,Male,No,v17
f97c3b765ea661349d3a3db5,0.00,1,short_first,choice_first,2,1,5,5,1046,1,1,45,5,50,45,5,50,4,B,1,1,24.142,8.329,5.627,6.352,5.427,5.011,6.722,8.366,6.412,4.986,5.757,51,Male,No,v17
5166fc9da2615a3a953688e9,0.00,1,short_first,beliefs_first,4,3,4,5,961,1,1,41,5,54,41,5,54,7,A,1,1,10.981,8.202,6.119,6.034,6.11,6.875,6.551,6.945,5.673,5.544,5.409,37,Male,No,v17
566024c68f62487f659755f8,0.00,1,short_first,beliefs_first,4,2,5,5,959,1,1,42,9,49,42,9,49,1,A,1,1,13.031,6.41,3.695,2.948,4.169,2.009,1.863,2.26,2.373,1.534,1.429,29,Female,No,v17
d6f2eb15d36cfacfe3a4edde,2.00,1,short_first,beliefs_first,2,3,3,4,1000,1,1,45,10,45,45,0,55,6,B,1,1,14.045,9.611,7.94,6.518,5.558,6.805,8.187,16.052,6.99,7.501,6.6,50,Female,No,v17
f732c0f3fbbdd63184361d20,2.00,1,short_first,beliefs_first,4,2,5,5,1140,1,1,45.45,9.1,45.45,45.45,9.1,45.45,7,A,1,1,8.917,4.21,4.374,3.603,3.719,3.304,3.384,3.42,3.53,3.344,24.979,36,Male,No,v17
df90b4bd5cef52d345410881,0.00,1,short_first,beliefs_first,4,3,5,5,862,0.9,1.1,42,9,49,42,9,49,7,B,1,1,21.001,13.979,12.098,13.024,14.773,11.487,11.383,8.764,10.28,11.409,8.795,32,Male,No,v17
fc23547c812da38ad77f34ab,2.00,1,short_first,beliefs_first,3,4,5,5,1036,1,1,45.5,9,45.5,45.5,9,45.5,5,A,1,1,50.177,5.764,5.686,6.203,6.464,6.864,7.395,9.172,6.29,11.136,15.736,35,Female,No,v17
508cd5bdd440ec123b6d8750,1.40,1,short_first,choice_first,2,3,3,3,873,0.9,0.95,50,8,42,50,8,42,6,A,1,1,26.263,22.639,11.996,6.926,7.766,6.813,5.877,9.23,5.728,6.952,7.795,19,Male,Yes,v17
0691763259eedadf2ebbc374,2.00,1,short_first,beliefs_first,2,2,4,4,1225,1,1,45.45,45.45,9.1,45.45,45.45,9.1,6,B,1,1,23.063,12.582,14.519,15.65,15.063,14.355,12.873,13.319,14.538,16.143,14.496,25,Female,No,v17
