id,bonus_payment,choiceB,rand_long_short_order,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,a3Col,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,age,sex,student,df
e9230c547a682c28fb4d256f,0.00,0,short_first,beliefs_first,4,3,2,2,278,Blue,1.3,0.7,20,10,70,20,30,50,7,A,1,1,6.831,2.326,1.786,1.755,0.94,1.433,0.706,0.962,1.562,1.027,0.816,28,Male,DATA_EXPIRED,v21
283410eb1dd716c2959cf04b,0.00,0,short_first,beliefs_first,4,4,5,5,350,Blue,1.68,1.34,20,5,75,30,5,65,7,B,1,1,6.173,3.27,3.416,3.507,2.791,2.893,2.415,2.244,2.692,2.466,2.259,23,Male,Yes,v21
9d077ee0349a04a2ee179b22,0.00,0,short_first,beliefs_first,4,3,5,3,393,Blue,1.5,1.3,50,0,50,50,0,50,1,B,1,1,8.956,7.026,1.456,1.149,0.683,0.746,0.901,0.89,0.717,0.818,0.99,54,Female,No,v21
edbfa03eea2e34864385c717,0.00,1,short_first,beliefs_first,3,4,4,4,426,Blue,1,1.1,40,20,40,30,10,60,5,B,1,1,6.075,5.193,4.731,4.13,4.925,4.264,4.661,7.69,3.859,3.5,3.355,30,Female,No,v21
ef60ac205f1fa4bbccb377c9,1.30,0,short_first,choice_first,4,2,5,4,452,Blue,0.7,0.3,10,10,80,55,25,20,6,A,1,1,10.694,2.769,1.249,2.128,1.28,0.913,1.348,1.064,1.008,1.388,0.987,35,Female,No,v21
29e4e5f19ddf6a35c53ce1af,1.48,0,short_first,choice_first,2,4,4,4,470,Blue,1.2,0.95,20,0,80,40,0,60,6,A,1,1,6.26,4.298,2.656,3.598,2.612,6.855,17.044,2.347,2.005,2.032,1.574,48,Male,No,v21
c2f81947206cf7fd16c88bbc,0.00,1,short_first,beliefs_first,5,4,5,4,500,Blue,0.8,1.15,70,5,25,50,3,47,5,A,1,1,8.44,5.263,6.6,9.225,9.11,3.441,2.116,3.255,5.452,1.271,2.183,23,Male,Yes,v21
c3ade138f972c764199a07a5,0.70,1,short_first,choice_first,1,1,2,4,559,Blue,0.5,0.75,70,5,25,40,5,55,4,A,1,1,9.265,11.52,4.568,10.068,4.989,3.656,5.02,3.857,2.417,2.692,1.426,30,Female,No,v21
86f7683e65f71e256b7bdbfd,2.07,0,short_first,choice_first,3,3,4,3,478,Blue,1.8,1.4,20,10,70,20,15,65,6,B,1,1,6.684,4.006,2.721,3.553,3.626,3.378,2.664,3.923,4.521,2.666,4.374,31,Male,No,v21
388018a3145faf1696529263,0.00,0,short_first,beliefs_first,4,3,5,5,535,Blue,1.1,0.7,30,5,65,60,5,35,6,A,1,1,11.073,7.069,5.201,2.794,3.741,2.657,2.946,10.744,5.623,3.411,2.793,32,Male,No,v21
f44273de2d1bd4abef539772,0.00,1,short_first,beliefs_first,2,3,4,4,633,Blue,0.8,1.1,80,10,10,5,5,90,6,A,1,1,9.218,7.321,2.89,1.145,2.827,2.2,1.59,1.315,1.941,2.879,2.529,44,Female,Yes,v21
fcbbeda89e7aa1d00c40bac5,0.00,0,short_first,beliefs_first,4,3,5,3,672,Blue,1.02,0.66,29,1,70,75,0,25,7,A,1,1,5.478,10.287,86.105,2.036,3.31,2.86,1.524,2.229,4.664,2.557,3.539,24,Male,DATA_EXPIRED,v21
89cd27f4077108726c1c1285,1.68,0,short_first,choice_first,4,2,3,4,660,Blue,1,0.93,60,10,30,70,10,20,5,B,1,1,2.328,3.243,2.505,2.316,1.236,1.529,1.004,0.447,0.457,0.365,0.695,36,Female,No,v21
e01ec8af40bc925b71a876d6,0.00,0,short_first,beliefs_first,4,3,4,4,730,Blue,1.1,0.8,30,10,60,80,5,15,6,B,1,1,40.961,4.054,1.439,1.778,1.675,1.44,2.401,2.731,2.503,1.664,4.734,36,Male,No,v21
917804e460d51174e3c2d4e8,1.68,0,short_first,choice_first,2,2,4,3,866,Blue,1.89,1.89,45,0,55,45,0,55,5,B,1,1,45.515,12.964,17.591,13.167,13.112,14.184,13.143,12.209,13.189,14.215,104.451,27,Male,Yes,v21
2beb7959c9674324375e5df4,0.30,0,short_first,choice_first,4,3,3,2,763,Blue,1.25,0.9,40,5,55,70,2,28,6,B,1,1,21.526,9.3,5.031,2.368,2.463,2.875,1.66,1.158,1.434,1.107,1.001,52,Female,No,v21
1b41b2d4c63b7a6141c8b4b1,2.07,0,short_first,choice_first,4,4,5,4,461,Blue,2,1,10,20,70,30,20,50,7,A,1,1,5.322,9.701,2.816,1.668,1.937,1.46,0.658,0.524,0.424,1.244,1.473,25,Female,Yes,v21
89a4dd19e27017987fb6e53a,0.50,1,short_first,choice_first,3,3,2,4,937,Blue,0.9,1.2,80,5,15,33,5,62,5,A,1,1,190.382,2.501,2.362,1.54,9.844,1.549,1.213,1.322,1.359,0.849,1.174,32,Male,Yes,v21
0cc7ab8697aff8fd5bad5f56,0.00,1,short_first,beliefs_first,3,3,4,4,654,Blue,0.8,1,40,10,50,30,10,60,5,B,1,1,13.561,6.045,3.622,4.317,3.405,3.935,4.488,2.595,7.286,3.551,3.268,36,Female,No,v21
688960843dbc28b8c9ccfaa0,1.88,1,short_first,choice_first,5,5,3,4,758,Blue,0.8,1.3,45,10,45,40,10,50,4,A,1,1,10.747,3.152,2.504,3.011,2.287,2.851,2.263,5.001,2.157,2.778,2.904,21,Male,DATA_EXPIRED,v21
6b672990ab82ee8ee2887cd0,0.00,1,short_first,beliefs_first,1,2,3,2,902,Blue,1.2,0.9,70,0,30,60,1,39,3,B,1,1,13.514,10.571,8,3.752,2.425,11.593,6.672,4.808,2.92,1.791,3.444,64,Female,No,v21
8346129cb4d9159d806ca091,0.00,1,short_first,beliefs_first,5,2,5,5,1484,Blue,1.2,1,50,30,20,30,50,20,7,A,1,1,9.41,4.548,3.272,2.146,3.583,3.907,3.905,3.113,3.066,3.365,4.486,45,Male,No,v21
65acbee1e9e61f58f7b77065,1.88,0,short_first,choice_first,4,4,4,3,1164,Blue,1,1,25,40,35,25,40,35,4,B,1,1,20.051,48.511,20.855,31.735,6.201,5.364,4.195,8.686,7.368,9.188,5.162,33,Female,No,v21
f74dc030b81adab97208d382,2.00,1,short_first,beliefs_first,3,3,4,3,1367,Blue,1,2,35,40,25,10,30,60,5,B,1,1,11.384,8.057,4.281,2.64,3.286,2.737,2.287,1.3,1.553,1.189,1.085,54,Female,No,v21
9afdf9c5f24362dbbd69d3b0,0.00,0,short_first,beliefs_first,5,3,5,3,1451,Blue,1,1,40,30,30,50,25,25,7,B,1,1,3.091,3.66,1.91,1.647,2.056,1.973,1.892,1.452,1.648,3.478,2.533,32,Male,No,v21
01b581fccbaa63f48a6f80dd,0.50,1,short_first,choice_first,2,1,4,4,916,Blue,1,1.25,65,5,30,70,5,25,6,B,1,1,20.472,15.538,12.113,10.217,21.945,8.29,11.002,16.743,19.395,13.046,6.314,64,Female,No,v21
2d20f9e7fa1b7d8122d61e83,0.00,1,short_first,beliefs_first,3,2,4,4,1546,Blue,0.75,1,70,5,25,20,10,70,7,A,1,1,3.621,2.581,2.157,3.233,1.999,2.263,1.783,1.67,1.967,2.152,2.763,34,Male,No,v21
8a0b6a9b50e5954c9b7434cb,0.00,0,short_first,beliefs_first,3,2,4,4,1911,Blue,1.5,2,25,35,40,50,20,30,3,B,1,1,9.703,7.32,5.78,6.574,4.656,3.581,36.215,255.304,1.194,1.109,0.874,52,Female,No,v21
7af635fb4f5d1c9b03ef8ac6,1.05,1,short_first,choice_first,4,3,4,3,1988,Blue,1.5,1.3,35,43,22,40,40,20,5,B,1,1,12.315,17.638,1.934,3.895,4.484,3.214,2.718,6.196,1.762,1.659,4.86,26,Male,Yes,v21
86ebe03cd2057c6b25110319,0.00,1,short_first,beliefs_first,5,3,3,4,322,Blue,1,2,30,25,45,10,40,50,6,A,1,1,3.489,0.635,0.377,1.683,1.622,1.45,1.39,1.49,0.421,0.195,1.073,22,Female,DATA_EXPIRED,v21
010422c219a70d09fc855ffe,0.70,0,short_first,choice_first,3,2,2,2,305,Blue,2,1,20,30,50,30,50,20,6,A,1,1,11.075,3.579,2.308,2.121,2.561,2.159,1.924,1.894,1.673,1.309,0.962,23,Male,Yes,v21
9d887541722c3b46d6e24220,0.00,1,short_first,beliefs_first,4,3,4,4,410,Orange,0.48,1.7,90,0,10,10,0,90,5,B,1,1,14.057,3.824,2.625,1.054,1.058,1.192,1.979,8.712,3.094,2.801,1.407,30,Male,DATA_EXPIRED,v21
f1c6ff6df70819242dc9859f,0.00,0,short_first,beliefs_first,4,3,4,3,411,Blue,2,1,30,30,40,40,30,30,5,A,1,1,19.196,3.285,1.473,0.463,1.077,0.947,0.511,0.49,0.181,0.467,0.191,35,Male,Yes,v21
81e4dff987e53394d56ae5fb,0.00,0,short_first,beliefs_first,4,3,4,4,313,Blue,1.35,0.9,45,0,55,45,0,55,5,B,1,1,4.088,1.745,0.943,1.208,0.862,1.072,2.057,0.883,1.013,0.968,1.094,33,Male,No,v21
89043b747a297a2a0d2c5733,0.00,1,short_first,beliefs_first,3,3,5,5,407,Orange,0.5,0.6,60,20,20,40,15,45,6,B,1,1,3.596,1.231,2.101,0.868,1.8,0.56,0.919,0.685,0.663,0.588,0.931,24,Male,No,v21
3a84ecb8fec88c558d909619,1.30,0,short_first,choice_first,4,1,4,2,529,Blue,1.4,0.8,10,0,90,60,0,40,5,B,1,1,6.826,2.873,1.783,3.877,1.356,1.81,1.195,2.913,1.253,1.517,2.233,39,Male,No,v21
988ac26df6618299dd4a7db1,0.00,1,short_first,beliefs_first,3,4,5,2,517,Orange,1,2,30,40,30,70,20,10,7,A,1,1,3.907,2.215,1.321,0.945,0.945,0.401,0.69,0.64,3.297,0.871,0.626,28,Male,No,v21
083a83d72a71043f5a0930ef,0.50,0,short_first,choice_first,4,2,5,4,523,Blue,0.92,0.75,40,5,55,55,3,42,5,B,1,1,8.98,6.754,6.066,6.551,3.72,3.669,1.515,1.709,1.642,2.623,1.476,42,Male,No,v21
9991c02884fdebfd46ba99cb,1.68,1,short_first,choice_first,2,4,4,2,410,Blue,1.2,0.2,10,30,60,10,10,80,6,A,1,1,6.688,1.815,1.288,3.361,2.212,0.79,1.189,0.709,0.627,0.641,2.733,31,Male,No,v21
1899ae6ff18fd28008ce7567,0.00,1,short_first,beliefs_first,3,2,3,4,579,Blue,0.8,1,80,10,10,10,20,70,6,A,1,1,10.193,4.71,5.666,5.218,3.772,1.424,1.427,1.191,1.538,2.257,5.619,50,Female,No,v21
b495c68dd291707ad3fbe37c,0.00,0,short_first,beliefs_first,4,3,3,3,572,Blue,1.1,0.8,40,0,60,60,5,35,5,B,1,1,5.735,2.793,1.613,1.666,1.871,0.907,1.469,2.421,2.662,1.63,1.157,24,Female,Yes,v21
e2815d0677933d925dfcc6da,0.05,1,short_first,choice_first,2,1,2,2,591,Orange,1,1.5,40,0,60,20,0,80,6,A,1,1,33.972,3.364,2.6,2.521,2.091,1.977,1.369,2.201,1.2,2.287,0.6,27,Female,No,v21
6bbc923a623ec57f11300152,0.00,1,short_first,beliefs_first,4,2,4,4,484,Orange,0.9,1.5,48,5,47,47,5,48,5,B,1,1,1.702,17.341,7.352,1.21,4.47,1.144,1.301,0.704,0.575,0.97,0.832,30,Female,No,v21
ee20451a06a37ab676bf6a69,1.48,0,short_first,choice_first,3,4,5,4,400,Blue,1,1,49,2,49,49,2,49,2,B,1,1,7.069,2.378,2.546,1.56,2.338,4.903,3.022,2.291,1.486,1.734,1.538,35,Female,No,v21
