id,bonus_payment,choiceB,rand_long_short_order,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,view1,view2,view3,age,sex,student,df
4f2610137efc97f40470aaa8,1.00,1,short_first,choice_first,4,2,4,4,269,0.5,1,80,10,10,20,30,50,6,A,1,1,2.272,1.394,1.04,23,Female,Yes,v24
edc58f60501e43befc468609,2.00,1,short_first,choice_first,4,3,4,4,399,1,1.5,50,30,20,20,20,60,6,A,1,1,7.824,1.495,1.832,26,Male,No,v24
dba4bdf46518bb6e9e64f3ae,0.00,1,short_first,beliefs_first,4,2,4,3,414,1,0.9,10,80,10,20,70,10,5,B,1,1,7.274,2.583,1.441,24,Male,Yes,v24
07e57b40d0580dd9381e2115,0.00,0,short_first,choice_first,4,3,5,5,502,1,1,33,34,33,33,34,33,1,A,1,1,7.625,3.364,9.603,34,Male,No,v24
9f98050d53affdc6007cbd37,0.00,1,short_first,choice_first,3,2,4,4,477,1,1.5,34,33,33,45,10,45,6,B,1,1,3.959,3.171,5.566,32,Female,No,v24
4f230aae6be723eeda655efe,2.00,1,short_first,choice_first,4,2,5,4,415,1.5,1.5,33,34,33,0,30,70,5,B,1,1,6.384,5.115,8.81,47,Male,No,v24
afbb1f800f11b16166140c92,2.00,0,short_first,choice_first,5,3,4,4,507,2,1,33,33,34,50,50,0,5,A,1,1,8.366,2.257,2.219,21,Male,No,v24
93991f4f07d0210d6a4f03e8,2.00,1,short_first,beliefs_first,2,2,4,4,448,1,1,33,33,34,33,33,34,7,A,1,1,6.942,1.995,1.583,34,Female,No,v24
a1fa0bd70a2ffbca71523325,2.00,0,short_first,beliefs_first,4,3,4,4,423,1.5,1,20,30,50,35,30,35,6,A,1,1,8.267,3.795,3.944,28,Female,No,v24
6d1139766e2d709b49affb7d,2.00,1,short_first,choice_first,4,3,4,4,508,1,2,20,50,30,30,20,50,5,B,1,1,5.223,3.891,4.736,41,Female,No,v24
fe592d8635e563dd8de90b8f,2.00,1,short_first,choice_first,3,2,4,4,510,2,1,40,30,30,20,30,50,5,B,1,1,12.26,3.716,3.373,31,Male,No,v24
88726de2e70d0f9949e9958d,2.00,1,short_first,choice_first,4,3,4,4,531,1,1,33.33,33.34,33.33,33.33,33.34,33.33,4,A,1,1,9.839,10.354,6.302,50,Female,No,v24
ce422f4cb10a8648994a8f40,0.00,0,short_first,choice_first,2,1,5,5,577,1.5,1.5,25,25,50,50,25,25,7,B,1,1,7.377,5.41,2.391,20,Female,No,v24
69d2efbfa80f3d07aa84d1ec,0.00,0,short_first,beliefs_first,4,3,4,4,534,1,2,40,10,50,60,10,30,6,B,1,1,13.451,5.13,7.38,57,Female,No,v24
0ca97f38450b444379766d20,0.00,1,short_first,choice_first,2,4,4,4,407,1,1,33.4,33.3,33.3,33,33,34,4,A,1,1,5.804,2.723,2.972,23,Male,No,v24
946761fc01fd4c63a949f6e2,2.00,1,short_first,beliefs_first,3,4,4,4,672,1,1.5,66.6,0,33.4,33.3,33.3,33.4,6,B,1,1,11.174,2.187,10.344,31,Male,DATA_EXPIRED,v24
b755a547076b752e709fabef,1.00,1,short_first,choice_first,4,3,4,4,478,1.5,1,25,50,25,30,40,30,6,B,1,1,4.959,4.652,1.968,25,Male,DATA_EXPIRED,v24
9b5a4f29f95e2e93d3d53476,0.00,0,short_first,beliefs_first,4,4,5,5,603,1,0.8,20,70,10,80,10,10,6,B,1,1,8.195,3.51,3.121,50,Female,No,v24
4b0b9b72de4e03b048ebaf3e,2.00,0,short_first,choice_first,4,2,2,3,802,2,1,0,0,100,0,0,100,7,A,1,1,14.3,4.132,1.474,30,Male,No,v24
525fd4636d9757b286cf79b7,0.00,1,short_first,choice_first,3,2,5,5,676,1,2,90,10,0,0,20,80,6,B,1,1,12.8,3.955,6.296,27,Female,No,v24
aa7aa5bca19525cad452fab7,0.00,0,short_first,choice_first,5,4,5,4,761,1,1,33,34,33,33,34,33,7,B,1,1,22.061,6.458,5.881,42,Female,No,v24
b832088d77795a8afff7c4bd,1.00,1,short_first,choice_first,3,2,4,3,663,1,1,33,33,34,33,33,34,4,B,1,1,5.804,11.307,7.602,47,Female,No,v24
