id,bonus_payment,choiceB,cond_beliefs_choice_order,riskTaking,statKnow,regretExAnte,regretExPost,duration,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,short,round,age,sex,student,df
434f0c7705c314d474694a39,0.00,0,beliefs_first,3,2,3,2,528,0.9,1,48,2,50,50,2,48,6,A,0,1,33,Female,Yes,v5
96ec9cc108ae7ec3675e6741,0.00,1,choice_first,3,2,3,3,687,1,1,49.8,0.4,49.8,49.8,0.4,49.8,6,A,0,1,32,Male,No,v5
2c66b7df7bdf587d2a89dc15,0.60,1,choice_first,4,1,5,5,675,0.5,1,25,50,25,25,50,25,7,B,0,1,39,Male,No,v5
3791bd5c6de9692a1d200ce3,0.60,1,choice_first,4,3,4,5,669,1,1,50,10,40,60,10,30,4,A,1,1,33,Female,No,v5
5d404ebeb701aaffdaa8ebd1,0.20,0,choice_first,3,4,5,4,675,1,1.1,49,2,49,48,1,51,6,A,0,1,26,Female,No,v5
463eb737b9b44b76d12b60e1,2.00,0,beliefs_first,3,2,3,3,728,0.75,0.75,46,9,45,46,9,45,1,A,1,1,25,Female,DATA_EXPIRED,v5
ad06ce4c23d96448fc58565b,0.20,1,choice_first,5,4,4,4,769,1,1.25,45,10,45,40,10,50,6,B,1,1,42,Male,No,v5
9d9c225f1d4691d69c524339,2.00,1,beliefs_first,3,2,5,5,683,1,0.75,45,10,45,50,10,40,1,B,1,1,32,Female,No,v5
fea840aea6deb1414257608e,2.00,0,beliefs_first,2,4,3,4,834,0.98,0.98,49.1,1.8,49.1,49.1,1.8,49.1,1,A,0,1,40,Male,No,v5
f75a5cd63fcd80af75488d2e,2.00,0,beliefs_first,3,1,4,2,704,1,0.9,33,33,34,33,33,34,7,A,0,1,38,Male,No,v5
c191ca3643c1b5a0c8df2ed6,1.00,0,choice_first,4,4,4,3,845,1,0.8,45,10,45,50,10,40,6,A,1,1,52,Male,No,v5
b47ab392be16fae9e977bc08,0.56,1,choice_first,2,2,4,4,722,0.73,0.65,0,9.1,90.9,0,9.1,90.9,7,A,1,1,32,Female,No,v5
5e78b5c94d7d442c599a7bfd,0.00,0,beliefs_first,3,2,5,3,897,2,1,49,1,50,51,1,48,5,A,0,1,38,Female,No,v5
ffaef75eb38c5bea28251642,2.00,1,beliefs_first,2,3,5,4,935,1,1,33,34,33,33,34,33,4,B,1,1,31,Female,Yes,v5
0e857693c37ed01e98541cb3,0.44,0,choice_first,3,4,4,4,907,2,1,10,20,70,30,40,30,7,B,0,1,29,Female,Yes,v5
c2475e44f0ed59fb6d51b3f3,0.00,1,beliefs_first,5,3,4,4,1005,1,0.5,40,10,50,50,10,40,6,B,1,1,57,Male,No,v5
1c26b7873d3225074552c5d4,2.00,1,beliefs_first,3,3,5,5,1215,1,1,49,2,49,49,2,49,1,B,0,1,39,Male,No,v5
b98a01864dd8c89aea01fb79,2.00,1,beliefs_first,3,3,4,4,1253,1.009,1,45.5,9,45.5,45.5,9,45.5,4,B,1,1,37,Male,No,v5
8712ed7493ef4b8df6cec11b,1.76,0,choice_first,4,2,4,4,1205,1,0.5,30,50,20,80,10,10,5,A,1,1,29,Female,No,v5
c8b1819d476c55f9dd00716a,0.00,1,beliefs_first,5,5,4,4,1392,2,2,30,40,30,30,30,40,4,B,0,1,51,Female,Yes,v5
5f89837a993c2ef153a1f776,2.00,1,beliefs_first,5,4,4,3,1048,0.9,0.9,45,10,45,45,10,45,6,B,1,1,32,Female,No,v5
9bdad9bb0a228ffd2031e944,1.00,1,choice_first,3,3,5,5,1410,1.1,1,49,2,49,51,2,47,7,A,0,1,37,Male,No,v5
aa004a6289af5bfbac4d6c76,1.20,1,choice_first,3,3,5,5,1869,1,1,45,10,45,45,10,45,5,B,1,1,33,Female,Yes,v5
690cbb9068b9c09a192ad7b2,2.00,0,beliefs_first,5,4,5,5,1924,1,0.5,30,35,35,25,30,45,7,A,0,1,26,Male,Yes,v5
ad366fa349fba9e4635cc888,1.08,1,choice_first,4,3,3,3,1868,0.9,1.1,50,1,49,49,1,50,6,B,0,1,26,Male,No,v5
4739641062a00be2657f87c4,0.00,0,beliefs_first,4,5,1,1,578,2,2,0,0,100,0,0,100,4,A,0,1,48,Female,Yes,v5
d5f8bf98f5649839cd223a30,0.04,0,choice_first,3,4,4,4,2142,1.25,1,30,40,30,40,30,30,6,A,1,1,25,Female,Yes,v5
460395385774c21bfd56cc04,2.00,1,beliefs_first,1,1,4,4,1522,1,1,49,2,49,50,4,46,1,A,0,1,48,Male,No,v5
d844f56a45bb90aa15e81fa7,0.40,0,choice_first,3,4,4,5,1635,1,1,45.5,9.1,45.4,45.5,9.1,45.4,5,B,1,1,32,Male,No,v5
71b18cddcdad43de2773f47e,2.00,0,beliefs_first,3,4,3,4,693,1.25,0.75,50,25,25,25,25,50,5,A,1,1,43,Male,No,v5
cc899fd81a6a13c11a719b97,0.96,0,choice_first,4,1,2,2,539,1,1,45,10,45,45,10,45,1,A,1,1,38,Male,No,v5
3673f82f806646a732082330,0.00,1,beliefs_first,4,1,4,4,710,0.5,0.5,49,2,49,49,2,49,4,A,0,1,34,Male,No,v5
2c3d3439ee0ae74b0a35f92f,2.00,1,choice_first,4,3,5,5,389,1.6,1.8,30,10,60,20,20,60,6,B,1,1,46,Male,No,v5
88573c93e66954fb1ca4156c,0.84,0,choice_first,4,3,5,5,910,2,1.8,25,50,25,25,50,25,7,B,1,1,24,Male,No,v5
0106bf49abc1ffd8cd202835,2.00,1,beliefs_first,3,5,4,4,940,1,1,45.5,9,45.5,45.5,9,45.5,6,A,1,1,35,Male,Yes,v5
4b25ac32174bb71fae9dab30,1.00,0,choice_first,4,2,4,3,572,1,1,40,10,50,50,10,40,4,A,0,1,33,Male,DATA_EXPIRED,v5
5c4ff92dd79d7612a5d0b873,0.00,0,beliefs_first,3,2,5,4,396,0.2,0.18,25,50,25,25,50,25,6,A,1,1,45,Female,Yes,v5
8a3177ddc41ba6c930e2473d,2.00,0,beliefs_first,3,2,4,4,676,0.81,1,40,10,50,50,10,40,5,B,1,1,27,Male,No,v5
2c9d02a9a876bae2954532c8,0.00,0,beliefs_first,1,1,4,5,317,1,0.9,20,30,50,50,30,20,4,A,1,1,45,Male,No,v5
61fbc39cf573adebf45149f3,0.00,1,beliefs_first,4,3,5,4,1086,1,1,25,50,25,25,50,25,7,A,0,1,42,Male,Yes,v5
f52be4b38ac70f1eb7b9f471,0.00,0,beliefs_first,2,3,4,5,497,1,1,46,9,45,46,9,45,4,A,1,1,40,Male,No,v5
b163dbf137e73eda989741a3,0.00,1,beliefs_first,3,2,4,2,648,1,0.96,48,4,48,50,2,48,5,B,0,1,26,Male,DATA_EXPIRED,v5
583c2115adfdfeaaa52d506e,0.20,0,choice_first,2,3,5,4,741,1,0.9,49,2,49,52,2,46,7,A,0,1,32,Male,No,v5
9de65bd37de4acc6c31cb3f2,1.40,0,choice_first,4,2,5,5,491,1,1,30,40,30,30,40,30,7,B,1,1,39,Male,DATA_EXPIRED,v5
ec2d21c0f2a6c55528774a50,0.00,1,beliefs_first,4,4,3,3,851,0,0.5,20,30,50,25,25,50,4,B,1,1,34,Male,No,v5
c0eddad7d3e61a29e7fd83ee,0.00,0,choice_first,5,3,5,5,842,1,1,50,0,50,50,0,50,7,A,1,1,40,Male,DATA_EXPIRED,v5
92f8b534cad13a3682fb389b,2.00,0,beliefs_first,4,3,4,4,622,1,1,45,10,45,45,10,45,1,A,1,1,37,Male,No,v5
f553d1bc206fd8b36cefb5a8,1.60,0,choice_first,2,2,5,5,544,1.5,1.2,45,10,45,45,10,45,5,B,1,1,24,Male,Yes,v5
3e6989a2668a549d802b15a3,0.00,0,beliefs_first,2,3,5,4,578,1,0.75,45,10,45,55,10,35,6,A,1,1,21,Male,Yes,v5
e8478439f0a9d11d36523d72,0.00,1,beliefs_first,1,1,4,5,618,0,2,70,25,5,60,35,5,3,A,0,1,35,Female,No,v5
a6b70a4dae309e3777bbafe6,1.24,0,choice_first,3,4,5,2,718,1,1,45,10,45,45,10,45,4,A,1,1,41,Male,No,v5
81b0fd6bb9f4581df0b99f26,1.60,1,choice_first,4,2,4,4,606,1,1.2,40,20,40,25,20,55,6,A,0,1,33,Male,Yes,v5
b1e8a94e86abaaafa4fa6717,0.40,1,choice_first,3,2,4,4,588,1,1,45,10,45,45,10,45,1,B,1,1,22,Male,No,v5
3ba76a8bc28dd88fc02e8453,0.20,0,choice_first,4,2,4,5,549,2,0,0,50,50,40,30,30,7,B,0,1,25,Female,No,v5
7a522ac42c3d3176a5e4aef7,2.00,0,beliefs_first,4,5,1,4,579,1,1,0,100,0,0,100,0,1,A,1,1,25,Male,Yes,v5
0f42841ac0f57a47802a602a,1.64,0,choice_first,1,3,5,5,1452,1.25,1.25,40,10,50,40,20,40,7,A,0,1,34,Male,No,v5
07e57b40d0580dd9381e2115,2.00,1,beliefs_first,4,3,5,5,995,1,1,45.4,9.2,45.4,45.4,9.2,45.4,7,B,1,1,34,Male,No,v5
260e411d2d373895728e5fc4,1.84,0,choice_first,4,3,3,2,709,1.25,0.75,40,10,50,60,10,30,5,B,1,1,48,Male,No,v5
