id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
8906579825c0807ca50ca1ed,23.937,13.845,14.169,5.789,8.042,4.901,6.45,6.563,6.858,5.219,6.515,v17
30d079373effe6f2b3b8fdec,5.737,3.163,1.91,1.495,0.703,0.555,2.691,1.043,0.894,0.496,0.79,v17
32bbc39e686146242e3b985f,5.339,1.47,2.188,1.093,1.041,1.249,1.061,0.995,0.896,0.943,1.078,v17
5cd4e053e7c5055f707f9221,24.061,43.737,8.243,6.721,6.293,7.833,7.716,10.58,7.002,6.233,7.435,v17
6a3f3fac4afd73f8ae204164,88.959,12.16,9.23,9.217,7.851,8.722,8.402,6.881,6.636,6.8,7.805,v17
fbb58418c8f3857804d2d0b3,9.115,2.696,2.683,4.882,1.84,1.317,1.238,1.537,1.525,2.268,3.23,v17
e02064fa45ad1ee9deea6494,16.6,11.538,5.687,5.401,3.828,4.628,8.784,5.3,7.083,5.765,5.618,v17
34a330cdbb9238e7e7fb7731,22.851,17.732,20.694,12.282,10.837,13.411,15.354,15.815,15.639,14.279,14.529,v17
0448d4452d1b5fe9ac68c605,13.508,5.525,5.537,4.421,7.773,6.844,5.748,9.202,4.136,5.702,6.566,v17
2da05e4fe23c54ebc0703b43,16.595,9.332,25.979,20.086,3.953,2.386,1.206,0.597,3.781,2.474,3.374,v17
6e98c610d57a817d6c777620,13.946,8.164,8.408,6.679,8.42,6.686,6.204,6.957,5.567,6.129,6.708,v17
236a148a4833dc3c371f01e3,7.9,14,6.312,5.087,12.64,5.201,4.348,4.952,5.079,5.341,4.373,v17
17b8cd4cc1a7de70cb33a763,12.765,6.764,5.911,5.506,5.607,13.709,6.872,6.477,6.04,4.846,6.158,v17
d4dfe8e4622cc0c8bc94177c,7.386,8.608,3.689,3.792,2.662,1.736,1.376,2.039,1.103,1.066,3.445,v17
e5faacd773c8f544a85fddd4,12.162,11.581,9.46,10.725,9.727,11.533,9.901,8.376,8.879,9.205,8.02,v17
35f91f4f3af7c479932748d0,3.467,12.626,2.384,2.658,1.874,1.942,1.951,0.227,2.183,2.256,2.509,v17
0aa4789bf348294ee98433c6,17.371,6.996,8.609,6.801,6.716,5.528,4.818,5.187,5.401,6.466,4.691,v17
5d7db42291e03fa39350579d,26.301,11.541,11.757,18.873,14.986,11.671,9.238,19.603,14.613,14.158,11.997,v17
d6a2ca5992e78796b6c340bb,27.321,8.956,6.641,6.946,9.934,7.949,4.777,6.233,6.989,5.59,6.354,v17
b166b162e7b6e7c114144ef9,12.066,7.92,12.467,5.407,4.565,5.676,5.566,4.467,5.145,5.307,5.239,v17
fcb94ecd0d8dba5690e4b074,28.601,13.3,9.5,15.526,12.632,10.823,7.469,8.123,6.002,9.97,9.023,v17
4cbe741eb0f6403a42fe5222,28.428,24.044,25.922,22.552,21.021,17.495,22.111,16.18,18.05,18.147,21.045,v17
4a18e720554e4457a0bc6dfb,25.152,15.635,6.48,5.519,5.845,4.125,4.097,8.724,5.714,6.515,5.324,v17
4bf298276b6ffa5651513c15,2.224,1.054,0.801,0.7,0.751,2.949,0.893,1.649,0.897,1.17,0.98,v17
2fade1353d8e34bd99d319dd,16.586,6.588,8.169,4.793,4.203,8.332,2.931,4.047,5.502,3.332,4.505,v17
b2efb5afaa65af71bad18e06,40.334,25.22,40.052,13.228,14.036,24.427,11.254,67.476,16.022,10.833,13.733,v17
0f6e03372b93f49208035361,31.189,9.073,5.794,20.074,6.045,5.36,4.463,4.865,4.275,3.648,4.958,v17
5b6bde0fb8256aff89ed3e95,2.595,1.014,1.494,0.424,0.496,0.207,0.213,0.369,0.102,0.271,0.425,v17
98f2ab0bc0c059cecd78e525,7.823,4.448,3.396,2.253,2.247,2.004,2.287,2.001,1.305,1.871,1.787,v17
95e91468d82d576592e23fc3,6.037,2.319,3.102,0.855,1.235,0.957,0.763,0.476,0.489,0.69,1.14,v17
97575bcb9aa6b7ff0a2812d8,6.789,3.55,1.757,0.713,0.807,0.502,0.133,0,0.203,0.795,0.736,v17
2037a8739dd5e9d2f20b97df,20.787,11.96,16.454,7.949,6.801,7.173,5.461,7.2,7.091,5.816,4.561,v17
6d0ddcf981e59d88fb9f3d50,13.944,28.239,21.828,10.056,11.773,9.599,6.339,5.994,7.599,5.917,6.194,v17
cdbf6f1c0798ca48609aedba,6.528,2.842,2.375,2.878,2.379,2.349,1.817,2.106,2.747,2.035,1.451,v17
5cd2fd081ec1c37224e49d55,13.017,11.367,8.632,7.655,7.498,6.906,7.015,7.279,7.759,7.607,7.276,v17
0d4d75ad718ca8ad9cbc49d7,17.759,10.68,7.484,7.346,9.21,9.226,8.101,7.508,9.65,5.987,6.074,v17
f97c3b765ea661349d3a3db5,24.142,8.329,5.627,6.352,5.427,5.011,6.722,8.366,6.412,4.986,5.757,v17
5166fc9da2615a3a953688e9,10.981,8.202,6.119,6.034,6.11,6.875,6.551,6.945,5.673,5.544,5.409,v17
566024c68f62487f659755f8,13.031,6.41,3.695,2.948,4.169,2.009,1.863,2.26,2.373,1.534,1.429,v17
d6f2eb15d36cfacfe3a4edde,14.045,9.611,7.94,6.518,5.558,6.805,8.187,16.052,6.99,7.501,6.6,v17
f732c0f3fbbdd63184361d20,8.917,4.21,4.374,3.603,3.719,3.304,3.384,3.42,3.53,3.344,24.979,v17
df90b4bd5cef52d345410881,21.001,13.979,12.098,13.024,14.773,11.487,11.383,8.764,10.28,11.409,8.795,v17
fc23547c812da38ad77f34ab,50.177,5.764,5.686,6.203,6.464,6.864,7.395,9.172,6.29,11.136,15.736,v17
508cd5bdd440ec123b6d8750,26.263,22.639,11.996,6.926,7.766,6.813,5.877,9.23,5.728,6.952,7.795,v17
0691763259eedadf2ebbc374,23.063,12.582,14.519,15.65,15.063,14.355,12.873,13.319,14.538,16.143,14.496,v17
22e4d842ae4ded9d3876b0a3,24.523,34.136,30.217,29.96,19.299,32.428,21.857,21.724,20.849,20.698,16.325,v17
14a563f9e399522169e6f696,14.399,10.266,7.944,7.363,8.568,7.776,6.683,10.195,6.077,7.035,9.494,v17
a00bf8d1cb65396ab1fdb35d,27.9,14.377,19.1,12.607,10.5,13.8,9.878,20.5,8.501,10,8.385,v17
d2222f5b39833312196f82ab,11.602,7.958,10.992,5.778,6.313,1.545,10.526,6.421,5.203,8.844,6.548,v17
84c22ee696a7413e28a5fb58,10.659,26.567,35.998,27.825,8.566,91.401,5.701,6.601,12.776,6.201,84.079,v17
fe38139aee8c7774a9d50613,43.252,18.02,11.449,11.029,19.589,12.537,15.121,11.963,14.233,15.02,11.634,v17
da4b1a6c5488ce5b35ab51b9,7.882,5.087,5.096,5.72,5.322,5.567,4.196,12.052,4.444,4.198,4.992,v17
3d16b20a797663a68f23c819,28.264,12.75,8.935,8.3,8.8,6.16,9.176,10.059,6.06,9.237,11.122,v17
80d92f046f632c122851b295,19.034,6.7,5.344,4.753,5.903,4.636,7.771,4.962,7.917,6.706,5.851,v17
818e104648f527601a73ed81,58.985,34.556,18.92,69.474,15.237,8.799,7.945,10.918,11.101,9.235,11.258,v17
463d30eabebfbb2bd140145a,65.928,38.669,26.78,8.484,8.533,15.329,6.744,21.54,9.508,7.155,9.136,v17
d9f78f3150196835117d6222,13.778,11.977,11.1,16.574,8.4,14.807,7.968,9.664,12.811,15.522,6.81,v17
b15328baaf6c5248d87fe42d,2.891,12.411,10.307,7.197,9.01,6.81,6.859,7.904,7.188,8.984,5.671,v17
90844498c7ef3d295a97a6c3,2.549,3.948,108.512,3.08,1.394,1.542,0.885,5.563,1.675,1.324,51.79,v17
056d2f7c1bb47aea1a431fde,8.266,5.532,4.879,5.159,4.952,8.023,4.668,4.47,3.633,4.765,1.371,v17
93fa0a00e82f60f8bbfab65f,11.316,3.487,3.856,3.036,2.007,2.132,2.631,2.093,2.382,2.888,2.394,v17
33892e12c5bb8719625dade0,12.202,6.98,7.668,9.528,8.55,7.574,6.415,6.127,7.585,7.36,6.334,v17
d3de3ecc0b9f3707659135cc,41.216,8.862,7.101,7.812,7.264,9.394,6.901,7.568,7.565,5.504,8.163,v17
fcb172b58d57c02a661bfc0d,10.742,4.849,6.063,4.22,2.574,2.296,2.555,2.462,3.683,4.002,2.821,v17
22056caf33e71a9386fbb297,95.813,10.473,8.454,5.469,9.115,4.776,9.323,7.306,6.618,5.735,9.342,v17
