id,view1,view2,view3,df
4f2610137efc97f40470aaa8,2.272,1.394,1.04,v24
edc58f60501e43befc468609,7.824,1.495,1.832,v24
dba4bdf46518bb6e9e64f3ae,7.274,2.583,1.441,v24
07e57b40d0580dd9381e2115,7.625,3.364,9.603,v24
9f98050d53affdc6007cbd37,3.959,3.171,5.566,v24
4f230aae6be723eeda655efe,6.384,5.115,8.81,v24
afbb1f800f11b16166140c92,8.366,2.257,2.219,v24
93991f4f07d0210d6a4f03e8,6.942,1.995,1.583,v24
a1fa0bd70a2ffbca71523325,8.267,3.795,3.944,v24
6d1139766e2d709b49affb7d,5.223,3.891,4.736,v24
fe592d8635e563dd8de90b8f,12.26,3.716,3.373,v24
88726de2e70d0f9949e9958d,9.839,10.354,6.302,v24
ce422f4cb10a8648994a8f40,7.377,5.41,2.391,v24
69d2efbfa80f3d07aa84d1ec,13.451,5.13,7.38,v24
0ca97f38450b444379766d20,5.804,2.723,2.972,v24
946761fc01fd4c63a949f6e2,11.174,2.187,10.344,v24
b755a547076b752e709fabef,4.959,4.652,1.968,v24
9b5a4f29f95e2e93d3d53476,8.195,3.51,3.121,v24
4b0b9b72de4e03b048ebaf3e,14.3,4.132,1.474,v24
525fd4636d9757b286cf79b7,12.8,3.955,6.296,v24
aa7aa5bca19525cad452fab7,22.061,6.458,5.881,v24
b832088d77795a8afff7c4bd,5.804,11.307,7.602,v24
df82a102e1a9628f2c829b6e,14.887,7.206,26.657,v24
503780fa414925d00988751e,10.14,4.975,2.16,v24
4985f27ed5cf751daa8a4d3e,3.073,1.692,1.48,v24
6ecb24ca4e0a7cce1a83ac24,17.884,19.445,5.686,v24
19c062537dfa72f4b6d26249,4.048,2.539,2.073,v24
5ee3c71ea2bc0a53a7494a0c,4.896,2.045,1.438,v24
772d592dcb42e3f6448564cd,3.548,4.121,10.37,v24
b179dc2839a238bdb028c283,8.125,9.582,4.397,v24
504aa26ab2e7ed9a383d9ef4,4.427,4.85,4.198,v24
9eaa3f551a9d478846df1c1f,4.519,2.826,2.972,v24
d7db347c44efd3a3184d69f6,4.782,4.071,1.9,v24
1527047ed19a9ec3a0c6746d,6.278,4.29,6.772,v24
863a832b37376d9efc5dafba,6.285,7.31,3.384,v24
7e59ecd86fbd3d4d1a07b0c2,5.601,3.298,0.946,v24
84fbecd2584927cbaa2b202f,16.124,2.848,8.318,v24
5dab7e85d91a616179d209fb,5.6,3.418,0.911,v24
fe140d086b24c1b1ef45f03e,7.877,2.621,5.558,v24
4fcbce024a24dc0f7fb42cfa,3.83,4.151,2.263,v24
e22407070e39c17263cf80fb,8.964,6.184,3.744,v24
7be80616c87b89ec3a53c6c0,8.372,5.335,11.617,v24
f23a400c50fc21e612577055,4.704,9.89,4.43,v24
eb83daca3d19fae5fd8fbbb4,9.894,18.088,13.659,v24
9d2b29bd9aea8f60680744f1,7.95,5.201,8.082,v24
c4996f761df1d3e310216bbb,12.543,4.658,2.274,v24
25cacd7f970c2b9eab36bc3f,16.297,5.591,4.606,v24
60c9469095635a5b6d49acfe,3.87,1.201,1.261,v24
40bebe6462929b70deaee84a,5.483,2.638,2.929,v24
55c7db8dd0328a94189f5449,10.022,1.884,2.769,v24
d841dbbe0f72095b64a597f6,72.82,16.6,109.568,v24
