id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
3d9ee7f2295bbe56e1699da6,8.757,3.786,3.334,2.582,2.353,0.866,2.435,1.43,0.739,1.202,1.019,v27
576c2f7e6554c27c8404a60a,7.102,3.834,4.879,2.766,3.576,2.115,2.281,1.962,3.086,1.66,1.501,v27
6680199dd1811cd6a110789b,10.24,4.243,3.222,2.863,4.786,3.056,2.349,1.981,2.432,1.931,2.782,v27
e100bd27821893767dc98803,6.273,1.364,1.636,1.167,0.776,0.787,0.685,0.852,0.794,1.265,1.311,v27
8cdf75be2cd144d2e68fded0,4.828,2.642,2.101,2.666,1.698,2.231,1.268,1.526,2.457,1.846,1.984,v27
65843c06c79cbb323e5f92e3,7.362,4.281,4.056,2.369,4.588,4.256,3.028,3.78,3.344,2.906,2.544,v27
c5921c29a01ea3f111e7c0b2,3.017,2.829,1.065,0.523,0.446,0.369,2.652,1.875,2.056,0.726,0.785,v27
be37bdad6e8711538f9c0deb,5.439,3.84,1.596,1.947,1.046,0.956,0.648,1.538,0.978,0.707,0.908,v27
5e83eb9d1ad516a97e2a3152,2.79,6.693,6.316,2.232,2.441,1.38,1.999,2.058,1.722,2.433,2.397,v27
1546bc50f5116e4fa5467498,3.355,10.402,5.979,3.083,1.582,3.136,4.332,2.561,2.732,2.57,3.85,v27
b56206a528709999f69d4716,20.721,7.337,6.39,3.977,4.022,2.576,3.702,3.191,4.659,2.833,3.471,v27
a3a97b0368ffd2bbdba8f240,7.701,4.891,1.892,1.201,3.638,2.184,1.572,2.59,1.792,1.601,1.674,v27
653c654e994901df9aa4b196,36.19,16.731,19.292,15.732,13.314,19.71,12.861,7.284,4.021,3.561,3.763,v27
947534fd6c48a034842e028a,3.541,6.128,2.644,2.115,3.004,2.963,2.285,2.472,2.522,1.946,2.539,v27
d8800dc517a496f6493c3119,21.118,9.505,7.016,8.022,6.891,7.815,6.233,10.692,6.791,5.706,6.479,v27
790ee6f2c7faa22e8f119185,11.096,4.823,5.159,4.963,3.971,3.801,3.589,3.348,3.179,3.573,3.271,v27
383db9dbc675349291299587,12.359,6.624,22.564,7.88,6.849,7.69,12.983,8.374,15.579,7.268,7.244,v27
b430d64bd2836e8c43b90c37,4.543,19.305,2.925,3.162,8.203,4.647,7.67,22.733,13.816,7.221,2.477,v27
ae2e6351013df7ebfd9d619b,2.632,2.27,2.243,2.023,1.342,0.629,0.65,0.771,0.471,0.536,1.988,v27
1b4f2a5b7abcda50558a34ad,10.903,1.669,2.751,1.991,2.407,1.586,3.042,1.172,0.631,11.23,1.068,v27
52f7d50a82b3afd8bf26d340,12.485,5.214,6.019,4.733,6.735,2.217,2.307,2.867,1.162,1.556,0.985,v27
41827ab6dacad081614bb52e,29.398,24.201,43.691,12.034,20.39,17.828,11.233,14.11,10.096,9.386,10.712,v27
aeb78ede83d042ba3fbd4107,2.262,5.211,1.793,1.271,38.35,1.19,2.387,0.711,1.463,10.501,5.928,v27
e3367adfa1613ca5cafd7f8a,29.401,32.801,56.301,58.901,1.987,25.54,2.789,2.569,4.841,5.124,3.7,v27
4c26e409d80182886e1cb32f,13.895,2.588,0.99,0.653,0.532,0.842,3.606,1.632,1.178,2.156,0.555,v27
45e3cd8185ea1360d99aa908,64.94,18.906,12.637,9.408,13.628,13.403,22.466,13.12,8.919,16.879,10.233,v27
4aaa8c7b70792e6056c65df5,8.296,5.688,5.357,8.193,6.7,2.121,2.127,1.945,3.383,2.861,2.56,v27
a686c17e84ce279302b1dcd7,41.788,10.842,9.575,7.788,8.966,14.562,11.286,11.372,8.094,10.732,11.351,v27
bc3bb7338dc272c4a68a12f5,10.397,17.151,7.062,3.353,4.759,2.912,6.625,3.873,2.986,3.26,3.102,v27
5066d99bc20e572e68c1c27f,5.204,1.661,1.237,1.432,0.73,0.716,0.747,0.621,0.614,2.123,1.845,v27
50752da83d27c8026eb27490,4.7,1.742,1.788,0.929,1.232,0.839,0.867,0.78,0.669,0.626,0.746,v27
b0c7bf7ca611eb872a682602,5.554,7.047,6.324,3.002,4.653,2.713,1.786,2.914,1.433,1.512,2.269,v27
8a10388edec3b913e4e2f735,4.755,3.483,1.748,0.866,1.196,0.978,0.76,0.788,1.267,0.98,0.589,v27
2811d993e6801a832a5c300b,7.853,3.867,1.401,1.128,1.542,1.601,0.866,1,0.704,0.637,0.975,v27
298965cca2abf540a8324bd0,5.688,3.459,2.102,1.139,2.523,1.435,1.011,0.999,0.623,1.208,2.354,v27
3f5fe1e6dfb70dd9f235315f,6.256,4.198,1.051,1.97,1.077,2.353,1.428,0.64,0.468,0.621,0.98,v27
5cf5bfc292a8ed7dc72b1dd7,5.274,3.179,2.269,1.972,2.307,2.244,1.45,1.533,1.919,1.857,1.587,v27
ec97e070c1240562e9096e6f,11.654,2.271,2.802,1.076,0.989,1.349,0.853,1.253,0.73,1.115,0.842,v27
40a51783ddaa3851b8364ab4,16.351,2.376,1.174,0.6,0.781,0.55,0.535,0.564,0.578,0.686,9.064,v27
e76efb0db2373f575e087217,8.785,5.748,3.352,5.145,5.41,4.574,3.274,1.629,2.211,3.285,3.232,v27
b441f134f5894ca81d993c6b,6.963,7.612,3.079,5.605,2.555,2.091,2.877,3.611,1.343,2.301,1.703,v27
c1e1a349c6d993e9fff096bf,11.651,2.242,2.26,1.17,2.062,0.935,1.61,5.357,1.636,1.43,1.961,v27
eb80d56d33fab7c313aa62cf,14.941,13.157,6.049,23.335,5.781,2.904,2.849,2.398,2.908,2.929,2.286,v27
827980883251a1abe3b3b6af,4.295,3.191,4.362,1.129,2.154,1.278,7.661,1.719,2.475,2.777,3.298,v27
3786fe7396a6739cee15869f,9.62,3.474,4.797,5.718,4.339,3.717,2.989,4.274,3.673,2.635,1.92,v27
5cdcc009a59b6b5b56921d24,7.815,8.578,2.177,3.679,5.203,1.512,0.861,0.585,0.602,0.863,0.695,v27
73260c723d487bc47e06a140,12.573,3.701,3.092,2.469,2.161,4.363,4.058,1.864,1.52,0.807,0.939,v27
2ddbf55d8521498b00482ca1,9.814,4.205,3.464,3.036,2.712,2.643,2.653,2.063,2.358,2.09,2.267,v27
0d998f0be07b75ca4a892822,3.522,12.524,4.02,1.878,4.315,0.984,0.623,1.194,1.366,1.554,1.415,v27
d9d878aeebc17d6554c67e8f,10.124,11.614,6.036,7.103,5.953,4.502,3.029,6.138,3.633,3.138,3.003,v27
8d65b87aeacfcf08169f0d06,19.955,4.194,3.784,2.769,4.571,3.024,3.2,3.299,3.341,2.872,2.8,v27
1f818a104af395f13707618e,61.262,4.62,2.132,1.84,2.066,4.4,3.022,0.877,1.276,0.995,1.201,v27
8032bda9c5ad85bdb6ff7cfa,9.14,5.908,2.919,1.788,3.885,2.122,4.487,10.923,2.865,4.718,1.391,v27
cd1e491b68a1168966734db6,14.539,8.653,5.775,2.476,4.504,4.601,3.163,3.332,2.031,1.939,1.16,v27
3e49a261fef275ec093e383d,3.848,4.564,3.675,3.288,2.671,3.455,3.207,1.967,2.748,1.811,2.191,v27
da692a3b63f2addb0bef379b,10.864,10.842,3.138,3.712,3.36,3.41,2.888,2.477,2.521,2.728,2.905,v27
c5e9e93b1a61c24001998328,17.234,12.901,7.024,9.626,10.913,4.685,3.775,3.203,4.87,2.11,3.301,v27
b947b9feb3ca93a24378970c,13.553,15.831,1.953,1.875,1.675,3.508,1.85,1.803,1.811,0.575,2.441,v27
c42a55853b65e03b3239117e,12.768,5.696,4.392,3.234,4.475,3.644,3.505,3.067,3.099,5.521,3.266,v27
