id,round1_combined_array,df
000000000000000000000000,"[1.68,1.88];[2.07,0.05];[1.30,1.48];[0.05,0.30];[1.05,1.30];[1.48,1.68];[0.70,0.88];[0.50,0.70];[0.88,1.05];[0.30,0.50];[1.88,2.07]",v21
,"[1.48,1.68];[0.50,0.70];[1.88,2.07];[0.70,0.88];[1.68,1.88];[0.05,0.30];[2.07,0.05];[1.30,1.48];[1.05,1.30];[0.30,0.50];[0.88,1.05]",v21
e9230c547a682c28fb4d256f,"[1.30,1.48];[1.68,1.88];[1.88,2.07];[0.70,0.88];[0.50,0.70];[1.48,1.68];[0.30,0.50];[0.05,0.30];[2.07,0.05];[1.05,1.30];[0.88,1.05]",v21
283410eb1dd716c2959cf04b,"[1.05,1.30];[0.30,0.50];[1.88,2.07];[0.70,0.88];[1.30,1.48];[2.07,0.05];[1.68,1.88];[0.88,1.05];[1.48,1.68];[0.50,0.70];[0.05,0.30]",v21
9d077ee0349a04a2ee179b22,"[0.30,0.50];[1.30,1.48];[1.48,1.68];[0.05,0.30];[0.50,0.70];[1.05,1.30];[0.70,0.88];[0.88,1.05];[2.07,0.05];[1.68,1.88];[1.88,2.07]",v21
,"[0.05,0.30];[1.68,1.88];[1.48,1.68];[1.30,1.48];[1.88,2.07];[2.07,0.05];[0.70,0.88];[0.30,0.50];[0.88,1.05];[0.50,0.70];[1.05,1.30]",v21
edbfa03eea2e34864385c717,"[1.05,1.30];[1.68,1.88];[0.30,0.50];[1.30,1.48];[0.88,1.05];[0.05,0.30];[2.07,0.05];[0.70,0.88];[1.48,1.68];[0.50,0.70];[1.88,2.07]",v21
ef60ac205f1fa4bbccb377c9,"[1.05,1.30];[1.68,1.88];[1.30,1.48];[1.48,1.68];[0.88,1.05];[0.05,0.30];[0.70,0.88];[0.30,0.50];[0.50,0.70];[2.07,0.05];[1.88,2.07]",v21
29e4e5f19ddf6a35c53ce1af,"[2.07,0.05];[0.50,0.70];[0.30,0.50];[1.30,1.48];[1.88,2.07];[0.88,1.05];[0.70,0.88];[0.05,0.30];[1.68,1.88];[1.48,1.68];[1.05,1.30]",v21
c2f81947206cf7fd16c88bbc,"[1.68,1.88];[1.05,1.30];[1.30,1.48];[0.50,0.70];[2.07,0.05];[0.30,0.50];[1.88,2.07];[0.88,1.05];[1.48,1.68];[0.70,0.88];[0.05,0.30]",v21
c3ade138f972c764199a07a5,"[0.30,0.50];[1.48,1.68];[1.05,1.30];[0.05,0.30];[0.50,0.70];[0.88,1.05];[0.70,0.88];[1.68,1.88];[2.07,0.05];[1.30,1.48];[1.88,2.07]",v21
86f7683e65f71e256b7bdbfd,"[1.48,1.68];[0.05,0.30];[0.30,0.50];[1.30,1.48];[0.50,0.70];[1.88,2.07];[0.88,1.05];[1.05,1.30];[1.68,1.88];[0.70,0.88];[2.07,0.05]",v21
388018a3145faf1696529263,"[1.48,1.68];[0.50,0.70];[1.88,2.07];[2.07,0.05];[0.70,0.88];[1.30,1.48];[0.05,0.30];[1.05,1.30];[0.30,0.50];[1.68,1.88];[0.88,1.05]",v21
f44273de2d1bd4abef539772,"[0.30,0.50];[0.05,0.30];[1.48,1.68];[1.88,2.07];[0.88,1.05];[0.70,0.88];[1.05,1.30];[1.68,1.88];[0.50,0.70];[2.07,0.05];[1.30,1.48]",v21
fcbbeda89e7aa1d00c40bac5,"[0.05,0.30];[0.50,0.70];[0.70,0.88];[0.30,0.50];[2.07,0.05];[1.68,1.88];[1.30,1.48];[1.88,2.07];[1.05,1.30];[0.88,1.05];[1.48,1.68]",v21
89cd27f4077108726c1c1285,"[1.68,1.88];[2.07,0.05];[0.50,0.70];[1.48,1.68];[0.05,0.30];[1.05,1.30];[0.30,0.50];[0.70,0.88];[1.88,2.07];[1.30,1.48];[0.88,1.05]",v21
