duration,id,riskTaking,statKnow,regretExAnte,regretExPost,cond_presentation,cond_beliefs_choice_order,whichFirst,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,choiceB,round,short,age,sex,student,df
632,00dac5efe6969a4957ac24b0,2,2,4,5,description_noiseless,choice_first,B,.25,.2,45,10,45,44,12,44,7,1,2,1,27,Male,Yes,prereg
632,00dac5efe6969a4957ac24b0,2,2,4,5,description_noiseless,choice_first,B,.1,.11,49,2,49,48.5,3,48.5,6,1,1,0,27,Male,Yes,prereg
777,00dc6d2e8b094a2ef7195520,2,1,3,3,sampling_noiseless,beliefs_first,A,.75,.9,15,10,75,12,10,78,7,1,2,0,33,Female,No,prereg
777,00dc6d2e8b094a2ef7195520,2,1,3,3,sampling_noiseless,beliefs_first,A,2,1,55,10,35,45,10,45,6,1,1,1,33,Female,No,prereg
1504,00e261ed710ee77fbb512c32,4,3,5,4,description_noiseless,beliefs_first,A,.75,.75,30,30,40,40,30,30,5,1,1,1,42,Male,DATA_EXPIRED,prereg
1504,00e261ed710ee77fbb512c32,4,3,5,4,description_noiseless,beliefs_first,A,.4,.4,30,40,30,40,30,30,6,1,2,0,42,Male,DATA_EXPIRED,prereg
1470,01c16ebb9b23f5d2f47f1bc8,4,5,3,4,description_noiseless,choice_first,A,1,1,47,6,47,47,6,47,5,1,2,1,63,Male,No,prereg
1470,01c16ebb9b23f5d2f47f1bc8,4,5,3,4,description_noiseless,choice_first,A,1,1,48,4,48,48,4,48,5,1,1,0,63,Male,No,prereg
1504,01d32575b845719f936f929b,3,4,5,4,description_noiseless,beliefs_first,B,1,1,33,34,33,33,34,33,7,0,1,0,59,Male,No,prereg
1504,01d32575b845719f936f929b,3,4,5,4,description_noiseless,beliefs_first,A,1,1,33,34,33,33,34,33,7,0,2,1,59,Male,No,prereg
1099,0270660e2206f050489da622,3,2,5,3,description_noiseless,beliefs_first,B,1,1,25,50,25,25,50,25,5,0,1,0,33,Male,DATA_EXPIRED,prereg
1099,0270660e2206f050489da622,3,2,5,3,description_noiseless,beliefs_first,B,1,1.25,30,40,30,30,40,30,4,1,2,1,33,Male,DATA_EXPIRED,prereg
956,02c7a6b646b2720b4209caea,3,4,4,3,sampling_noiseless,beliefs_first,A,.9,1,50,2,48,50,2,48,6,1,2,0,28,Female,Yes,prereg
956,02c7a6b646b2720b4209caea,3,4,4,3,sampling_noiseless,beliefs_first,B,.9,1.25,40,0,60,65,0,35,6,1,1,1,28,Female,Yes,prereg
436,02e718572c3227791c87f4d0,4,4,2,3,sampling_noiseless,choice_first,B,1,1,25,50,25,20,50,30,6,1,1,1,21,Male,Yes,prereg
436,02e718572c3227791c87f4d0,4,4,2,3,sampling_noiseless,choice_first,B,1.1,.9,20,50,30,25,50,25,7,1,2,0,21,Male,Yes,prereg
848,02f4dc3eca88bf19c8984c54,4,3,5,5,description_noiseless,choice_first,B,.39,.04,30,33,37,30,30,40,6,1,1,0,30,Male,No,prereg
848,02f4dc3eca88bf19c8984c54,4,3,5,5,description_noiseless,choice_first,A,.18,.2,23,23,54,20,12,68,6,1,2,1,30,Male,No,prereg
755,0354588bb3c11323a1d6f91a,3,2,4,2,description_noiseless,beliefs_first,A,1,1,48,2,50,47,2,51,4,1,1,0,36,Male,No,prereg
755,0354588bb3c11323a1d6f91a,3,2,4,2,description_noiseless,beliefs_first,B,1,1,47,2,51,51,2,47,4,0,2,1,36,Male,No,prereg
2057,036c563c9df9263b66945a47,4,3,4,4,sampling_noiseless,beliefs_first,A,1.5,2,20,50,30,30,50,20,5,0,1,1,56,Male,No,prereg
2057,036c563c9df9263b66945a47,4,3,4,4,sampling_noiseless,beliefs_first,B,1.75,1,30,60,10,15,25,60,5,0,2,0,56,Male,No,prereg
706,03b55fb3c47461bfcb8a6710,4,2,5,5,description_noiseless,beliefs_first,B,2,.8,0,0,100,0,100,0,6,0,1,1,30,Female,No,prereg
706,03b55fb3c47461bfcb8a6710,4,2,5,5,description_noiseless,beliefs_first,B,2,1.96,20,10,70,10,30,60,6,0,2,0,30,Female,No,prereg
1123,03cd10139e78f3d37f94fe68,3,2,5,5,description_noiseless,choice_first,A,1.25,.75,20,55,25,25,55,20,6,0,2,1,44,Male,No,prereg
1123,03cd10139e78f3d37f94fe68,3,2,5,5,description_noiseless,choice_first,B,1,1,25,50,25,30,50,20,5,1,1,0,44,Male,No,prereg
