experiment,id,round,block,position,nPairs,isLastPair,outcomeA,outcomeB,spread,viewTime,choiceB,whichFirst,a3Col
prereg,00dc6d2e8b094a2ef7195520,1,short,1,11,0,2,0,2,19.085,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,2,11,0,0,.2,.2,3.601,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,3,11,0,.2,.4,.2,1.444,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,4,11,0,1.6,1.8,.2,2.981,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,5,11,0,1.2,1.4,.2,3.461,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,6,11,0,1.4,1.6,.2,2.1,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,7,11,0,1.8,2,.2,6.257,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,8,11,0,1,1.2,.2,2.298,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,9,11,0,.4,.6,.2,2.433,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,10,11,0,.8,1,.2,7.791,1,,
prereg,00dc6d2e8b094a2ef7195520,1,short,11,11,1,.6,.8,.2,7.14,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,1,51,0,2,0,2,2.136,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,2,51,0,1.16,1.2,.039999999,1.7,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,3,51,0,1.84,1.88,.039999999,1.231,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,4,51,0,1.76,1.8,.039999999,1.564,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,5,51,0,.8,.84,.039999999,1.347,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,6,51,0,.72,.76,.039999999,2.101,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,7,51,0,1.36,1.4,.039999999,1.178,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,8,51,0,.36,.4,.039999999,1.767,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,9,51,0,.52,.5600000000000001,.039999999,1.557,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,10,51,0,1.08,1.12,.039999999,2.135,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,11,51,0,.32,.36,.039999999,4.221,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,12,51,0,1.4,1.44,.039999999,2.527,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,13,51,0,1.48,1.52,.039999999,1.386,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,14,51,0,.48,.52,.039999999,1.395,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,15,51,0,1.64,1.68,.039999999,2.036,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,16,51,0,.4,.44,.039999999,2.421,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,17,51,0,1.44,1.48,.039999999,2.728,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,18,51,0,1,1.04,.039999999,2.684,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,19,51,0,.76,.8,.039999999,4.442,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,20,51,0,.88,.92,.039999999,2.372,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,21,51,0,.08,.12,.039999999,3.841,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,22,51,0,1.52,1.56,.039999999,2.286,1,,
prereg,00dc6d2e8b094a2ef7195520,2,long,23,51,0,.84,.88,.039999999,1.567,1,,
