duration,id,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,oddState,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,choiceB,round,short,age,sex,student,df
1406,003aef09cab38c006e6621f2,2,2,5,4,1.00,choice_first,left,1,1,49,2,49,49,2,49,6,B,1,2,0,36,Male,No,v11
1406,003aef09cab38c006e6621f2,2,2,5,4,1.00,choice_first,left,1,1,45.45,9.1,45.45,45.45,9.1,45.45,6,A,1,1,1,36,Male,No,v11
1164,008d0731a46233e640636dd8,4,3,4,4,0.60,choice_first,left,2,2,0,50,50,0,50,50,6,A,1,1,1,43,Female,No,v11
1164,008d0731a46233e640636dd8,4,3,4,4,0.60,choice_first,left,2,2,0,80,20,0,90,10,6,B,1,2,0,43,Female,No,v11
915,054020f8288f3e36899d67c3,3,3,5,5,0.96,choice_first,left,.95,.85,40,9,51,50,9,41,5,A,0,2,1,24,Female,No,v11
915,054020f8288f3e36899d67c3,3,3,5,5,0.96,choice_first,left,.9399999999999999,1,45,2,53,2,49,49,5,A,0,1,0,24,Female,No,v11
822,0ff1d6718a190739f3c095fd,2,4,4,4,0.00,choice_first,right,1,1,49,2,49,49,2,49,7,B,1,2,0,51,Male,No,v11
822,0ff1d6718a190739f3c095fd,2,4,4,4,0.00,choice_first,right,1,1,45,10,45,45,10,45,6,B,1,1,1,51,Male,No,v11
1665,140a76100069ba066eb73355,3,3,4,4,1.92,choice_first,left,1,1,45,10,45,45,10,45,4,A,1,2,0,36,Female,No,v11
1665,140a76100069ba066eb73355,3,3,4,4,1.92,choice_first,left,1,1,45,10,45,45,10,45,4,A,1,1,1,36,Female,No,v11
390,17c80c3efdc14a7ceabbede1,2,4,3,4,0.00,choice_first,left,1,1,48,2,50,49,2,49,6,A,1,2,0,27,Male,Yes,v11
390,17c80c3efdc14a7ceabbede1,2,4,3,4,0.00,choice_first,left,.99,1,36,9,55,10,45,45,5,A,1,1,1,27,Male,Yes,v11
1501,23b6fd24ac1bca0d1f8b7063,4,1,5,5,0.00,beliefs_first,right,1,1,20,35,45,15,35,50,4,B,1,1,0,33,Female,Yes,v11
1501,23b6fd24ac1bca0d1f8b7063,4,1,5,5,0.00,beliefs_first,right,1,1,15,25,60,5,25,70,4,B,0,2,1,33,Female,Yes,v11
1068,242e0c0408fe82410df70446,2,1,5,5,0.00,beliefs_first,left,1,1.5,34,33,33,34,33,33,1,B,1,1,1,47,Female,No,v11
1068,242e0c0408fe82410df70446,2,1,5,5,0.00,beliefs_first,left,1,1.5,33,33,34,33,33,34,1,B,1,2,0,47,Female,No,v11
2563,260de99d35f1080c5797e709,4,3,5,3,0.00,beliefs_first,left,1,1,50,10,40,50,10,40,1,A,0,1,1,24,Female,No,v11
