duration,id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,choiceStr,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,rand_long_short_order,whichFirst,choiceB,short,round,age,sex,student,df
972,0099ac7b73bfa84c1d7205a9,14.803,11.687,7.404,7.055,9.708,5.1,5.904,4.888,6.301,5.292,19.087,5,1.5,1.6,30,10,60,55,35,10,2,2,4,3,0.00,beliefs_first,short_first,B,1,1,1,22,Female,No,v17
860,0448d4452d1b5fe9ac68c605,13.508,5.525,5.537,4.421,7.773,6.844,5.748,9.202,4.136,5.702,6.566,7,1,1,45.5,9,45.5,36,9,55,3,4,4,4,1.00,choice_first,short_first,B,1,1,1,41,Male,No,v17
653,056d2f7c1bb47aea1a431fde,8.266,5.532,4.879,5.159,4.952,8.023,4.668,4.47,3.633,4.765,1.371,7,.6,.82,80,10,10,10,10,80,4,2,4,4,2.00,beliefs_first,short_first,B,1,1,1,55,Female,No,v17
1225,0691763259eedadf2ebbc374,23.063,12.582,14.519,15.65,15.063,14.355,12.873,13.319,14.538,16.143,14.496,6,1,1,45.45,45.45,9.1,45.45,45.45,9.1,2,2,4,4,2.00,beliefs_first,short_first,B,1,1,1,25,Female,No,v17
716,0a61546923a96f3fa94216a9,6.345,5.35,2.046,1.8,2.787,1.301,0.976,1.058,0.576,0.579,0.644,4,1.1,1,50,1,49,50,1,49,2,2,4,3,0.00,beliefs_first,short_first,A,0,1,1,56,Male,No,v17
1154,0aa4789bf348294ee98433c6,17.371,6.996,8.609,6.801,6.716,5.528,4.818,5.187,5.401,6.466,4.691,4,1,1,0,100,0,98,2,0,3,2,4,4,0.00,beliefs_first,short_first,B,0,1,1,42,Female,No,v17
432,0baa4190c130aad20b7a71c2,11.192,2.293,1.744,1.266,1.642,1.582,1.683,0.615,1.274,1.68,2.051,6,1,1.1,15,35,50,20,35,45,4,4,5,4,2.00,beliefs_first,short_first,A,1,1,1,32,Male,No,v17
968,0d4d75ad718ca8ad9cbc49d7,17.759,10.68,7.484,7.346,9.21,9.226,8.101,7.508,9.65,5.987,6.074,7,1,1,25,50,25,25,50,25,3,3,5,5,0.00,beliefs_first,short_first,A,1,1,1,46,Male,No,v17
795,0f6e03372b93f49208035361,31.189,9.073,5.794,20.074,6.045,5.36,4.463,4.865,4.275,3.648,4.958,4,1,1,25,50,25,25,50,25,5,3,4,4,0.00,beliefs_first,short_first,B,0,1,1,31,Male,Yes,v17
829,122f61b0e5c87b49ba0d3728,27.817,6.538,14.142,9.263,8.427,9.337,17.924,4.756,8.443,19.81,4.724,1,1,1,45,10,45,45,10,45,3,4,2,3,0.00,beliefs_first,short_first,A,1,1,1,24,Male,No,v17
