duration,id,choiceStr,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,rand_long_short_order,a3Col,whichFirst,choiceB,short,round,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,age,sex,student,df
305,010422c219a70d09fc855ffe,6,2,1,20,30,50,30,50,20,3,2,2,2,0.70,choice_first,short_first,Blue,A,0,1,1,11.075,3.579,2.308,2.121,2.561,2.159,1.924,1.894,1.673,1.309,.962,23,Male,Yes,v21
558,010a738055b300743f12212d,4,1,2,50,25,25,20,30,50,2,1,3,3,0.00,beliefs_first,short_first,Orange,A,0,1,1,8.302,6.403,4.227,4.301,4.659,2.961,3.422,2.84,3.761,3.693,4.794,24,Female,No,v21
916,01b581fccbaa63f48a6f80dd,6,1,1.25,65,5,30,70,5,25,2,1,4,4,0.50,choice_first,short_first,Blue,B,1,1,1,20.472,15.538,12.113,10.217,21.945,8.289999999999999,11.002,16.743,19.395,13.046,6.314,64,Female,No,v21
452,05e419e13345dfa111861cd2,3,1.5,1.7,35,20,45,12,35,53,2,2,5,5,0.00,beliefs_first,short_first,Blue,A,0,1,1,11.527,8.585000000000001,4.866,3.487,3.042,8.347,4.873,5.369,2.755,6.926,3.468,32,Female,Yes,v21
660,05fdc7d8bb83a7317641ac1b,4,1,1,30,30,40,20,30,50,3,3,3,3,0.05,choice_first,short_first,Orange,B,1,1,1,1.357,2.516,4.621,.9429999999999999,.381,.821,.287,.918,.917,.313,.608,20,Male,DATA_EXPIRED,v21
611,06de4feec0e390c7f5f24bb5,4,1.02,2,5,25,70,10,25,65,3,3,3,3,0.00,beliefs_first,short_first,Orange,B,1,1,1,1.627,1.949,2.304,2.458,27.885,2.218,1.239,1.163,.625,.5,1.15,22,Female,Yes,v21
817,06ef9dc4f39a56ffcb836dae,4,1,1.25,70,20,10,20,10,70,2,2,5,5,0.00,beliefs_first,short_first,Orange,B,1,1,1,21.738,14.123,12.404,11.687,12.121,7.797,9.935,8.105,8.593,8.555,5.681,52,Female,No,v21
735,07a86b35690c50235a09b9c0,5,2,2,0,0,100,0,0,100,4,3,4,4,1.05,choice_first,short_first,Orange,A,1,1,1,9.848000000000001,7.014,4.823,5.487,5.515,5.394,6.467,4.844,4.036,6.922,9.51,54,Female,Yes,v21
523,083a83d72a71043f5a0930ef,5,.92,.75,40,5,55,55,3,42,4,2,5,4,0.50,choice_first,short_first,Blue,B,0,1,1,8.98,6.754,6.066,6.551,3.72,3.669,1.515,1.709,1.642,2.623,1.476,42,Male,No,v21
629,099fdf333fc6a9cb0aba25e2,7,1.4,.5,35,5,60,60,10,30,3,3,5,5,0.00,beliefs_first,short_first,Blue,A,0,1,1,12.559,8.927,7.063,4.887,1.957,2.399,2.921,2.371,2.095,1.394,2.335,29,Female,No,v21
317,0b80b6e00c54a0b016adab22,2,.78,.96,80,1,19,75,1,24,3,4,5,2,0.88,choice_first,short_first,Orange,A,0,1,1,5.013,3.694,2.352,1.404,1.602,.772,.617,1.089,.926,.911,.646,30,Female,No,v21
654,0cc7ab8697aff8fd5bad5f56,5,.8,1,40,10,50,30,10,60,3,3,4,4,0.00,beliefs_first,short_first,Blue,B,1,1,1,13.561,6.045,3.622,4.317,3.405,3.935,4.488,2.595,7.286,3.551,3.268,36,Female,No,v21
939,0dc6c5323cc27dbfc4118a97,7,1.05,1.5,50,20,30,50,10,40,4,4,5,5,1.30,choice_first,short_first,Orange,B,1,1,1,16.35,38.301,4.244,1.644,1.501,1.4,2,6.296,4.848,1.7,3.161,28,Female,No,v21
712,0ee01e7c1c2128e1d29dd84a,6,2,1,10,40,50,30,40,30,4,5,5,2,1.68,choice_first,short_first,Blue,B,0,1,1,11.058,5.401,6.577,6.473,5.327,5.762,5.142,6.439,5.231,4.816,3.767,32,Female,DATA_EXPIRED,v21
599,0ee3941d6516df265c021fad,4,.77,.68,50,10,40,75,10,15,3,2,4,4,1.68,choice_first,short_first,Blue,B,0,1,1,8.632999999999999,4.059,4.288,1.925,2.837,2.37,2.74,2.705,2.643,5.413,1.781,45,Female,No,v21
915,0f7b2893537898f18814d423,5,1.1,1.5,60,30,10,30,25,45,4,4,4,2,0.05,choice_first,short_first,Orange,A,1,1,1,7.299,2.574,1.516,1.691,2.111,3.024,3.928,2.733,3.217,1.861,2.632,47,Male,No,v21
711,1255924033ea3b1738ea5338,5,.7,1.2,90,5,5,70,2,28,3,4,3,2,0.00,beliefs_first,short_first,Orange,A,1,1,1,10.519,3.541,2.432,1.834,1.595,2.676,6.302,2.498,2.269,1.173,1.926,58,Female,No,v21
225,12e44a0b43a147bd3228ced6,7,1.3,.3,20,30,50,60,20,20,3,4,4,4,0.70,choice_first,short_first,Blue,B,0,1,1,4.802,1.38,.971,.9409999999999999,.764,1.419,.883,.662,.742,1.09,.715,27,Female,Yes,v21
346,12eb21e84e2e83bbd56e7f4d,7,.5,1,60,0,40,30,0,70,3,4,5,4,1.48,choice_first,short_first,Orange,A,1,1,1,5.965,4.094,3.019,2.647,1.947,1.878,1.795,1.533,1.679,1.96,2.066,30,Male,DATA_EXPIRED,v21
1150,136b55ee074515894f54a4ab,6,2,1.8,28,30,42,52,40,8,3,5,4,4,0.00,beliefs_first,short_first,Orange,B,0,1,1,5.633,6.303,4.021,.837,.715,4.147,1.211,.902,1.114,4.621,3.44,65,Female,Yes,v21
607,13f6d24fb8f374db978c1af6,6,.1,1.4,90,7,3,30,30,40,2,1,4,2,0.00,beliefs_first,short_first,Blue,B,1,1,1,19.516,8.071,4.076,4.889,2.208,1.603,6.429,2.502,9.593,8.763,2.452,68,Female,No,v21
833,148e76a10a047fd69953da27,6,1.8,2,30,21,49,30,50,20,4,3,4,4,0.00,beliefs_first,short_first,Orange,B,0,1,1,2.117,13.056,3.715,2.868,2.97,4.751,1.496,1.983,.701,1.172,2.139,53,Male,No,v21
712,16d4f0a6c985e99ea54cd68f,5,2,2,20,40,40,10,35,55,4,2,5,3,1.68,choice_first,short_first,Orange,B,1,1,1,6.798,4.279,2.558,6.15,4.857,2.744,12.697,2.515,1.88,2.114,1.845,36,Male,No,v21
385,186f2bf4992b2a9aa588c8d7,5,.48,.8,50,10,40,60,5,35,4,3,5,5,0.00,beliefs_first,short_first,Blue,A,1,1,1,4.396,6.455,3.765,2.101,2.445,1.208,.977,.718,1.148,.927,1.231,34,Male,DATA_EXPIRED,v21
