duration,id,view1,view2,view3,choiceStr,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,rand_long_short_order,whichFirst,choiceB,short,round,age,sex,student,df
890,01234e7c9faf50c442d3ee74,11.643,8.502,10.291,4,2,1,33,33,34,33,34,33,2,3,3,4,2.00,choice_first,short_first,B,0,1,1,51,Female,No,v24
502,07e57b40d0580dd9381e2115,7.625,3.364,9.603,1,1,1,33,34,33,33,34,33,4,3,5,5,0.00,choice_first,short_first,A,0,1,1,34,Male,No,v24
407,0ca97f38450b444379766d20,5.804,2.723,2.972,4,1,1,33.4,33.3,33.3,33,33,34,2,4,4,4,0.00,choice_first,short_first,A,1,1,1,23,Male,No,v24
638,145e96efea029d6bf7ccb360,6.236,6.222,3.644,6,1,2,33,67,0,33,0,67,4,2,5,3,2.00,choice_first,short_first,B,1,1,1,54,Male,No,v24
768,14a4dbd26975e922726c213a,4.399,6.765,9.534,6,1,1,33,33,34,33,33,34,4,4,5,5,0.00,choice_first,short_first,B,1,1,1,30,Male,No,v24
341,1527047ed19a9ec3a0c6746d,6.278,4.29,6.772,1,1,1,33,34,33,33,34,33,3,4,5,5,0.00,choice_first,short_first,B,0,1,1,36,Male,DATA_EXPIRED,v24
649,15eca02cb42b068abffc2975,6.565,4.129,2.307,5,1,1.5,25,50,25,20,40,40,4,4,5,4,0.00,beliefs_first,short_first,B,1,1,1,22,Male,Yes,v24
375,15ee16d18e47533536706434,9.89,4.411,13.267,5,1,1,33,33,34,33,33,34,1,2,5,4,2.00,beliefs_first,short_first,B,1,1,1,26,Female,No,v24
1573,196e7ee8b668a115d8229e90,38.882,23.979,13.89,5,1,1,10,60,30,40,50,10,4,2,4,4,1.00,choice_first,short_first,A,1,1,1,27,Female,No,v24
817,19c062537dfa72f4b6d26249,4.048,2.539,2.073,3,1.2,1,30,20,50,50,20,30,4,4,4,4,1.00,choice_first,short_first,B,1,1,1,72,Female,No,v24
226,1b1bf997b6695f788fc71efe,2.953,1.37,0.669,5,1,1.5,20,40,40,25,50,25,4,3,3,3,2.00,choice_first,short_first,B,0,1,1,34,Male,No,v24
1822,1be498475b62c3cd7c44d1ef,15.461,8.604,9.216,5,.75,1.25,40,30,30,50,30,20,4,4,5,4,2.00,choice_first,short_first,B,0,1,1,43,Male,DATA_EXPIRED,v24
1702,1c3ae1854ba66185223172a7,59.886,38.416,35.044,1,1,1,33.33,33.34,33.33,33.33,33.34,33.33,3,2,5,5,2.00,beliefs_first,short_first,A,1,1,1,55,Male,No,v24
676,25cacd7f970c2b9eab36bc3f,16.297,5.591,4.606,5,.7,1,30,20,50,40,40,20,4,2,3,4,1.00,choice_first,short_first,A,0,1,1,46,Female,No,v24
485,271af0ae103ec2084aaff177,7.304,2.327,4.926,5,1,1.5,33,33,34,34,66,0,4,5,2,3,2.00,beliefs_first,short_first,B,1,1,1,23,Male,No,v24
788,273313bb184d528baf877c65,9.849,3.807,11.566,5,1,.66,33,34,33,33,67,0,2,2,5,5,0.00,choice_first,short_first,A,0,1,1,38,Female,No,v24
872,2ac395003d24467387162fa5,9.002,4.932,5.552,4,1,1.5,33,32,35,30,30,40,1,1,5,4,2.00,choice_first,short_first,A,1,1,1,66,Female,No,v24
1085,2f0105b45ea580e3d16d8754,19.948,17.246,4.074,7,1,2,50,30,20,20,30,50,5,4,5,3,0.00,choice_first,short_first,B,1,1,1,30,Male,No,v24
542,30968e02cd1434a669f86922,5.762,0.996,0.935,4,2,2,40,30,30,40,10,50,3,3,4,3,0.00,choice_first,short_first,A,0,1,1,25,Female,No,v24
1803,31413f7ee6ab66a539252cbc,19.997,4.362,13.474,6,1,1,25,50,25,25,50,25,4,4,3,4,2.00,beliefs_first,short_first,B,1,1,1,38,Male,Yes,v24
846,35427245a24a05a8dbb4e10c,38.223,15.327,47.233,5,1.5,2,25,25,50,25,25,50,3,3,5,3,0.00,beliefs_first,short_first,B,0,1,1,42,Female,Yes,v24
728,3a6d23848c04eededb777bda,3.91,1.108,1.051,4,1,2,20,30,50,50,10,40,3,4,3,4,0.00,beliefs_first,short_first,B,0,1,1,25,Female,DATA_EXPIRED,v24
391,3f8531913f90baa9e349df87,6.813,3.233,2.043,6,1.25,1.5,25,20,55,25,20,55,4,2,4,4,0.00,beliefs_first,short_first,B,1,1,1,27,Male,Yes,v24
778,40bebe6462929b70deaee84a,5.483,2.638,2.929,4,1,1,25,25,50,40,20,40,3,1,5,5,1.00,choice_first,short_first,B,1,1,1,39,Female,No,v24
856,4923f87552728f13f325a88c,8.869,1.558,2.474,4,1,2,50,20,30,10,50,40,3,2,2,4,0.00,beliefs_first,short_first,B,1,1,1,39,Male,Yes,v24
792,4985f27ed5cf751daa8a4d3e,3.073,1.692,1.48,5,.25,.75,100,0,0,20,50,30,4,3,4,4,2.00,choice_first,short_first,A,1,1,1,30,Female,No,v24
802,4b0b9b72de4e03b048ebaf3e,14.3,4.132,1.474,7,2,1,0,0,100,0,0,100,4,2,2,3,2.00,choice_first,short_first,A,0,1,1,30,Male,No,v24
