duration,id,choiceStr,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,rand_long_short_order,a3Col,whichFirst,choiceB,short,round,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,age,sex,student,df
545,0d998f0be07b75ca4a892822,7,.7,1,40,20,40,30,30,40,5,4,4,4,0.88,choice_first,short_first,Blue,A,1,1,1,3.522,12.524,4.02,1.878,4.315,.984,.623,1.194,1.366,1.554,1.415,22,Male,Yes,v27
772,12a858bc52d2dd8b651b9038,7,1.5,.5,20,0,80,75,0,25,3,2,5,5,1.05,choice_first,short_first,Blue,A,0,1,1,19.222,8.929,7.69,7.16,6.261,5.398,6.128,3.413,5.76,10.648,4.274,36,Male,No,v27
423,1546bc50f5116e4fa5467498,3,1.65,1.76,40,3,57,35,2,63,4,3,3,3,0.00,beliefs_first,short_first,Blue,B,1,1,1,3.355,10.402,5.979,3.083,1.582,3.136,4.332,2.561,2.732,2.57,3.85,46,Male,No,v27
851,1b4f2a5b7abcda50558a34ad,5,.6,.4,77,3,20,80,2,18,2,4,5,5,0.00,beliefs_first,short_first,Blue,B,0,1,1,10.903,1.669,2.751,1.991,2.407,1.586,3.042,1.172,.631,11.23,1.068,35,Female,No,v27
607,1c2f3ef39de90ca5d08d8ecb,4,2,2,5,5,90,5,5,90,3,3,4,4,0.00,beliefs_first,short_first,Blue,A,0,1,1,26.764,10.023,6.893,4.897,4.199,7.024,7.297,6.25,2.986,4.088,11.445,62,Male,DATA_EXPIRED,v27
611,1f818a104af395f13707618e,5,1.27,1.53,30,35,35,25,30,45,3,3,3,3,2.07,choice_first,short_first,Blue,A,1,1,1,61.262,4.62,2.132,1.84,2.066,4.4,3.022,.877,1.276,.995,1.201,37,Female,No,v27
353,2811d993e6801a832a5c300b,3,0,2,30,40,30,20,30,50,4,3,3,4,1.48,choice_first,short_first,Blue,B,1,1,1,7.853,3.867,1.401,1.128,1.542,1.601,.866,1,.704,.637,.975,25,Male,DATA_EXPIRED,v27
340,298965cca2abf540a8324bd0,5,.6,.4,90,0,10,92,0,8,3,4,4,4,0.00,beliefs_first,short_first,Blue,B,0,1,1,5.688,3.459,2.102,1.139,2.523,1.435,1.011,.999,.623,1.208,2.354,49,Male,No,v27
1316,2d5eb45311ed0fb561e8036e,5,1.7,1.6,30,35,35,40,50,10,4,4,5,2,0.00,beliefs_first,short_first,Blue,A,0,1,1,112.006,4.596,1.242,.852,3.761,.803,.578,.5620000000000001,.435,.342,.579,60,Male,No,v27
648,2ddbf55d8521498b00482ca1,5,.5,.7,70,10,20,40,10,50,2,2,4,3,0.00,beliefs_first,short_first,Blue,A,1,1,1,9.814,4.205,3.464,3.036,2.712,2.643,2.653,2.063,2.358,2.09,2.267,37,Female,No,v27
410,33d857db5303ea1a644345a1,5,1.3,.9,20,5,75,80,5,15,3,2,2,2,1.05,choice_first,short_first,Blue,A,0,1,1,7.99,7.934,2.565,4.566,2.89,2.32,4,2.125,2.201,1.941,1.997,28,Female,No,v27
901,34ff11e093d60db856a97d11,6,1.25,1,30,10,60,30,20,50,3,2,4,5,2.07,choice_first,short_first,Blue,B,0,1,1,35.696,34.746,25.074,15.965,17.411,17.547,24.564,15.784,22.1,18.704,17.696,42,Male,No,v27
437,3786fe7396a6739cee15869f,6,.8,1.2,65,25,10,10,5,85,3,3,5,5,0.00,beliefs_first,short_first,Blue,A,1,1,1,9.619999999999999,3.474,4.797,5.718,4.339,3.717,2.989,4.274,3.673,2.635,1.92,26,Female,Yes,v27
844,383db9dbc675349291299587,5,1.33,.99,46,0,54,45,0,55,2,2,4,4,2.00,beliefs_first,short_first,Blue,B,0,1,1,12.359,6.624,22.564,7.88,6.849,7.69,12.983,8.374000000000001,15.579,7.268,7.244,30,Female,No,v27
594,393aa67e9112e3abd4f132d4,6,1.05,.71,20,3,77,90,0,10,4,3,4,3,0.00,beliefs_first,short_first,Blue,A,0,1,1,11.483,4.417,6.937,5.472,8.454000000000001,4.951,3.153,3.518,2.826,3.16,3.236,36,Female,No,v27
