duration,id,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,choiceB,round,short,age,sex,student,df
940,0106bf49abc1ffd8cd202835,3,5,4,4,2.00,beliefs_first,1,1,49,2,49,49,2,49,7,B,1,2,0,35,Male,Yes,v5
940,0106bf49abc1ffd8cd202835,3,5,4,4,2.00,beliefs_first,1,1,45.5,9,45.5,45.5,9,45.5,6,A,1,1,1,35,Male,Yes,v5
763,016cc4047da2f18f529e5e81,4,2,4,4,1.60,choice_first,1,1,45.5,9,45.5,45.5,9,45.5,5,A,1,1,1,29,Female,No,v5
763,016cc4047da2f18f529e5e81,4,2,4,4,1.60,choice_first,1,1,49.4,1.2,49.4,49.4,1.2,49.4,5,A,1,2,0,29,Female,No,v5
689,07c537c83a8d55445613bbf2,2,1,2,3,2.00,beliefs_first,1,1,30,10,60,30,10,60,1,B,0,2,0,24,Female,No,v5
689,07c537c83a8d55445613bbf2,2,1,2,3,2.00,beliefs_first,1,1,40,20,40,40,20,40,1,A,1,1,1,24,Female,No,v5
995,07e57b40d0580dd9381e2115,4,3,5,5,2.00,beliefs_first,1,1,45.4,9.199999999999999,45.4,45.4,9.199999999999999,45.4,7,B,1,1,1,34,Male,No,v5
995,07e57b40d0580dd9381e2115,4,3,5,5,2.00,beliefs_first,1,1,49,2,49,49,2,49,7,B,1,2,0,34,Male,No,v5
645,0b20227aa994398a48fa8697,3,4,4,4,0.00,beliefs_first,.5,1,50,10,40,45,10,45,5,A,1,2,1,35,Male,No,v5
645,0b20227aa994398a48fa8697,3,4,4,4,0.00,beliefs_first,.2,.25,80,5,15,75,5,20,4,B,1,1,0,35,Male,No,v5
907,0e857693c37ed01e98541cb3,3,4,4,4,0.44,choice_first,2,1,60,30,10,10,20,70,7,A,1,2,1,29,Female,Yes,v5
907,0e857693c37ed01e98541cb3,3,4,4,4,0.44,choice_first,2,1,10,20,70,30,40,30,7,B,0,1,0,29,Female,Yes,v5
1452,0f42841ac0f57a47802a602a,1,3,5,5,1.64,choice_first,2,1,30,20,50,30,20,50,7,A,0,2,1,34,Male,No,v5
