id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
010422c219a70d09fc855ffe,11.075,3.579,2.308,2.121,2.561,2.159,1.924,1.894,1.673,1.309,.962,v21
010a738055b300743f12212d,8.302,6.403,4.227,4.301,4.659,2.961,3.422,2.84,3.761,3.693,4.794,v21
01b581fccbaa63f48a6f80dd,20.472,15.538,12.113,10.217,21.945,8.289999999999999,11.002,16.743,19.395,13.046,6.314,v21
05e419e13345dfa111861cd2,11.527,8.585000000000001,4.866,3.487,3.042,8.347,4.873,5.369,2.755,6.926,3.468,v21
05fdc7d8bb83a7317641ac1b,1.357,2.516,4.621,.9429999999999999,.381,.821,.287,.918,.917,.313,.608,v21
06de4feec0e390c7f5f24bb5,1.627,1.949,2.304,2.458,27.885,2.218,1.239,1.163,.625,.5,1.15,v21
06ef9dc4f39a56ffcb836dae,21.738,14.123,12.404,11.687,12.121,7.797,9.935,8.105,8.593,8.555,5.681,v21
07a86b35690c50235a09b9c0,9.848000000000001,7.014,4.823,5.487,5.515,5.394,6.467,4.844,4.036,6.922,9.51,v21
083a83d72a71043f5a0930ef,8.98,6.754,6.066,6.551,3.72,3.669,1.515,1.709,1.642,2.623,1.476,v21
099fdf333fc6a9cb0aba25e2,12.559,8.927,7.063,4.887,1.957,2.399,2.921,2.371,2.095,1.394,2.335,v21
0b80b6e00c54a0b016adab22,5.013,3.694,2.352,1.404,1.602,.772,.617,1.089,.926,.911,.646,v21
0cc7ab8697aff8fd5bad5f56,13.561,6.045,3.622,4.317,3.405,3.935,4.488,2.595,7.286,3.551,3.268,v21
0dc6c5323cc27dbfc4118a97,16.35,38.301,4.244,1.644,1.501,1.4,2,6.296,4.848,1.7,3.161,v21
0ee01e7c1c2128e1d29dd84a,11.058,5.401,6.577,6.473,5.327,5.762,5.142,6.439,5.231,4.816,3.767,v21
0ee3941d6516df265c021fad,8.632999999999999,4.059,4.288,1.925,2.837,2.37,2.74,2.705,2.643,5.413,1.781,v21
0f7b2893537898f18814d423,7.299,2.574,1.516,1.691,2.111,3.024,3.928,2.733,3.217,1.861,2.632,v21
1255924033ea3b1738ea5338,10.519,3.541,2.432,1.834,1.595,2.676,6.302,2.498,2.269,1.173,1.926,v21
12e44a0b43a147bd3228ced6,4.802,1.38,.971,.9409999999999999,.764,1.419,.883,.662,.742,1.09,.715,v21
12eb21e84e2e83bbd56e7f4d,5.965,4.094,3.019,2.647,1.947,1.878,1.795,1.533,1.679,1.96,2.066,v21
136b55ee074515894f54a4ab,5.633,6.303,4.021,.837,.715,4.147,1.211,.902,1.114,4.621,3.44,v21
13f6d24fb8f374db978c1af6,19.516,8.071,4.076,4.889,2.208,1.603,6.429,2.502,9.593,8.763,2.452,v21
148e76a10a047fd69953da27,2.117,13.056,3.715,2.868,2.97,4.751,1.496,1.983,.701,1.172,2.139,v21
16d4f0a6c985e99ea54cd68f,6.798,4.279,2.558,6.15,4.857,2.744,12.697,2.515,1.88,2.114,1.845,v21
186f2bf4992b2a9aa588c8d7,4.396,6.455,3.765,2.101,2.445,1.208,.977,.718,1.148,.927,1.231,v21
1899ae6ff18fd28008ce7567,10.193,4.71,5.666,5.218,3.772,1.424,1.427,1.191,1.538,2.257,5.619,v21
1a5974b629839818f17da72e,24.519,3.738,5.345,2.775,2.804,2.544,2.38,1.613,1.821,3.613,1.726,v21
1ae795013e2d944778cf7f4b,6.554,5.579,2.833,2.889,2.25,3.005,2.004,2.221,3.384,1.331,1.482,v21
1b41b2d4c63b7a6141c8b4b1,5.322,9.701000000000001,2.816,1.668,1.937,1.46,.658,.524,.424,1.244,1.473,v21
1b46e1f688b160ba1da6b308,27.847,11.726,6.893,3.582,3.007,3.617,3.879,3.295,2.711,3.411,3.319,v21
1f081a527ce2eb28d4d6f66f,6.863,1.855,2.211,1.65,1.558,1.089,.667,.782,.981,1.244,.998,v21
239d22a81325c70cd7ffae95,6.068,6.027,6.319,3.796,2.654,5.659,2.847,1.988,2.404,1.723,2.384,v21
2481fe0fb174e606fe776a1f,11.5,9.026,6.63,11.549,1.786,3.36,1.739,1.423,1.227,1.299,.796,v21
283410eb1dd716c2959cf04b,6.173,3.27,3.416,3.507,2.791,2.893,2.415,2.244,2.692,2.466,2.259,v21
29e4e5f19ddf6a35c53ce1af,6.26,4.298,2.656,3.598,2.612,6.855,17.044,2.347,2.005,2.032,1.574,v21
2a00809e9ae4093c27d3885a,7.981,5.739,2.54,71.895,11.922,5.444,5.203,2.586,4.927,1.159,.946,v21
2beb7959c9674324375e5df4,21.526,9.300000000000001,5.031,2.368,2.463,2.875,1.66,1.158,1.434,1.107,1.001,v21
2d20f9e7fa1b7d8122d61e83,3.621,2.581,2.157,3.233,1.999,2.263,1.783,1.67,1.967,2.152,2.763,v21
2edaf84e05a9b29d542b299b,5.517,2.942,2.529,1.971,1.794,2.641,2.221,1.687,2.142,2.03,1.556,v21
306da66861d4dab2ec90205f,4.016,2.652,2.1,.9360000000000001,1.418,1.022,1.602,1.359,.89,.918,1.293,v21
326031712c849bf3c3e2f54a,7.565,4.681,2.666,3.148,2.158,1.456,2.164,3.902,1.794,1.697,1.731,v21
3378cf3f009614d5769a3011,18.12,.891,11.187,1.635,1.438,1.464,1.383,1.402,1.502,1.401,1.519,v21
33a8d71ee483442914114234,8.238,7.088,3.751,3.75,2.436,5.767,4.662,4.479,2.171,2.589,2.742,v21
33bbda72094a599aa7754a48,10.472,4.976,6.54,3.699,3.535,3.48,3.689,2.771,2.067,4.314,3.005,v21
350980d4450681d21b780e64,20.384,6.351,10.829,4.63,7.53,5.331,2.859,2.914,3.517,8.551,5.048,v21
356c269c22c3e8a4dcb35946,9.766999999999999,7.735,4.077,3.064,1.972,2.056,2.756,1.33,1.483,1.238,1.969,v21
378ab13088875786894d8249,17.697,9.18,6.053,4.49,5.101,6.076,4.779,9.356,5.193,3.145,4.231,v21
37e5a952a36230d97c4e5dca,9.382,4.385,6.769,4.717,8.553000000000001,3.871,5.443,4.349,2.16,2.73,2.063,v21
386eb9161133d60b1319f169,7.143,4.327,5.285,2.55,1.599,1.525,1.179,1.33,1.036,.846,1.013,v21
388018a3145faf1696529263,11.073,7.069,5.201,2.794,3.741,2.657,2.946,10.744,5.623,3.411,2.793,v21
3a84ecb8fec88c558d909619,6.826,2.873,1.783,3.877,1.356,1.81,1.195,2.913,1.253,1.517,2.233,v21
3cccbd9e4519ff9dad1954ea,5.669,6.646,3.907,4.04,3.804,3.739,2.404,2.59,2.602,3.257,6.124,v21
3e08b0bec63d440a203d5ad7,11.833,9.045999999999999,5.9,5.915,6.516,9.701000000000001,5.918,7.624,7.051,7.151,7.989,v21
41627b6647201f1e5b3b58ea,1.671,1.562,.401,.478,.531,.302,.385,.402,.373,.346,.412,v21
41bda20a75620450e42b3f98,9.044,5.343,3.221,3.135,2.799,2.926,2.631,1.541,2.031,1.579,1.506,v21
426e6826793966996c14d322,7.48,16.035,3.454,3.387,2.362,1.907,2.809,2.082,2.388,2.416,2.896,v21
4330e370ecaa7cd63593f5b6,30.513,10.372,14.148,4.822,9.273999999999999,4.69,5.743,8.989000000000001,3.334,40.061,15.775,v21
43bc8230ac11c332beb51a2a,12.868,4.071,1.47,1.491,1.098,1.572,.95,.88,.997,.86,3.199,v21
449dfaee27a093b028d8e01a,31.031,36.727,18.814,18.18,13.78,16.085,10.778,5.783,7.595,4.92,2.681,v21
4623cfe27ff7f07d9f40ed37,4.866,1.702,1.262,.6850000000000001,.678,2.06,.83,.775,.403,1.233,2.365,v21
4c228112c81856a8a39cc737,6.25,4.754,2.3,3.29,2.64,1.287,.886,.8,.671,.846,.918,v21
4c702a4598305550dd3266f4,11.394,5.173,633.115,.6909999999999999,.972,.503,.64,.494,.45,.452,1.738,v21
4cc239531bba5fc680d9ede2,8.000999999999999,9.759,4.818,3.803,1.449,2.175,1.004,.8169999999999999,.657,.729,.654,v21
4fa629ca6e74caf4d8929605,14.063,8.611000000000001,3.468,3.591,3.538,3.871,3.603,2.094,2.788,2.556,2.318,v21
5179c6f8ebc8d14d111710f0,5.22,8.042999999999999,6.745,5.126,3.548,4.342,3.38,2.777,3.564,2.715,3.163,v21
54a49581a07b2b014378e048,14.2,6.937,3.6,3.205,2.451,3.927,3.649,3.252,3.424,2.017,4.1,v21
5b76db4e8c8e300f3ab3e0a6,3.27,2.294,1.453,1.353,.877,1.703,1.266,1.116,.8100000000000001,1.765,1.336,v21
